"Date","Year","Month","Temp","Prec"
NA,1950,1,-8.76838690078547,72.5000010803342
NA,1951,1,-2.16451608065155,45.2000006735325
NA,1952,1,-3.77806443168271,76.6000011414289
NA,1953,1,-5.07161278986642,70.3000010475516
NA,1954,1,-11.1929029756256,41.4000006169081
NA,1955,1,-5.48129020006426,36.0000005364418
NA,1956,1,-4.19129022889801,22.6000003367662
NA,1957,1,-4.59129021995731,42.3000006303191
NA,1958,1,-4.87354827816448,35.300000526011
NA,1959,1,-5.46354826497695,61.1000009104609
NA,1960,1,-6.26903211794073,54.1000008061528
NA,1961,1,-5.83387083734476,19.5000002905726
NA,1962,1,-3.58032250061872,54.5000008121133
NA,1963,1,-12.0325803762122,41.8000006228685
NA,1964,1,-8.46161271409402,15.8000002354383
NA,1965,1,-4.02225797461166,42.8000006377697
NA,1966,1,-7.91516111340494,45.0000006705523
NA,1967,1,-7.23258048350052,57.700000859797
NA,1968,1,-7.31290306235033,65.0000009685755
NA,1969,1,-7.00419339183117,31.3000004664063
NA,1970,1,-5.2016127869607,43.3000006452203
NA,1971,1,-3.98709668507499,11.3000001683831
NA,1972,1,-5.93483857702344,17.7000002637506
NA,1973,1,-3.47354830945692,27.600000411272
NA,1974,1,-2.65483865033715,89.2000013291836
NA,1975,1,-0.565161277690241,33.600000500679
NA,1976,1,-5.34999988041818,142.700002126396
NA,1977,1,-2.8396773558831,57.3000008538365
NA,1978,1,-4.33387087087237,17.5000002607703
NA,1979,1,-6.6125804973586,56.1000008359551
NA,1980,1,-7.97483853142588,24.6000003665686
NA,1981,1,-7.31870951383345,38.7000005766749
NA,1982,1,-7.33903209402436,52.8000007867813
NA,1983,1,-1.00903223551089,59.400000885129
NA,1984,1,-3.45419347117985,39.5000005885959
NA,1985,1,-9.32935463018235,20.0000002980232
NA,1986,1,-5.42451600778487,74.3000011071563
NA,1987,1,-11.1993545883846,71.7000010684133
NA,1988,1,-0.984193526388657,36.8000005483627
NA,1989,1,-3.27258057201341,22.3000003322959
NA,1990,1,-2.44161284865151,25.000000372529
NA,1991,1,-2.98903219125444,8.20000012218952
NA,1992,1,-4.00290313633459,45.5000006780028
NA,1993,1,-2.9464515470449,32.8000004887581
NA,1994,1,-0.570322567897458,54.4000008106232
NA,1995,1,-4.11129023068615,39.1000005826354
NA,1996,1,-6.45548372667643,35.5000005289912
NA,1997,1,-6.47580630686735,16.3000002428889
NA,1998,1,-2.3619354310776,48.7000007256866
NA,1999,1,-2.57709671659095,17.7000002637506
NA,2000,1,-5.72806438809681,58.5000008717179
NA,2001,1,-3.56935475892838,51.3000007644296
NA,2002,1,-3.73193540045571,22.1000003293157
NA,2003,1,-5.30516117174299,35.5000005289912
NA,2004,1,-6.61645146501401,29.5000004395843
NA,2005,1,-3.83322572077234,74.900001116097
NA,2006,1,-8.84419335070397,14.3000002130866
NA,2007,1,0.801612885308362,94.4000014066696
NA,2008,1,-0.894838689676216,27.7000004127622
NA,2009,1,-4.76483860317497,36.7000005468726
NA,2010,1,-6.29774179471837,37.900000564754
NA,2011,1,-3.91064507388059,22.9000003412366
NA,2012,1,-4.24322571160813,57.8000008612871
NA,2013,1,-4.51516118940086,66.7000009939075
NA,2014,1,-0.949032236851992,21.3000003173947
NA,2015,1,-1.61580641549681,84.2000012546778
NA,2016,1,-4.58903215549165,21.7000003233552
NA,2017,1,-8.17483852695553,16.6000002473593
NA,2018,1,-1.0735483631011,10.7000001594424
NA,2019,1,-5.6325805192633,80.5000011995435
NA,2020,1,-2.32387091579937,21.8000003248453
NA,2021,1,-3.93193539598536,58.5000008717179
NA,2022,1,-2.77806445403445,55.3000008240342
NA,2023,1,-0.425161280819485,96.8000014424324
NA,2024,1,-2.41322575251181,60.5000009015203
NA,1950,2,-2.30785709127252,56.1000008359551
NA,1951,2,-1.3342856844621,26.0000003874302
NA,1952,2,-4.77793092768768,94.9000014141202
NA,1953,2,-4.42749990103766,30.3000004515052
NA,1954,2,-9.34214264832969,4.30000006407499
NA,1955,2,-5.22928559740207,46.0000006854534
NA,1956,2,-13.3920686661812,44.4000006616116
NA,1957,2,-1.25892854328933,45.600000679493
NA,1958,2,-1.41249996842816,62.5000009313226
NA,1959,2,-4.93535703254331,15.7000002339482
NA,1960,2,-6.07758607105191,18.2000002712011
NA,1961,2,-2.1799999512732,41.1000006124377
NA,1962,2,-5.57071416119912,106.000001579523
NA,1963,2,-9.87999977916479,38.4000005722046
NA,1964,2,-6.2568964118716,59.1000008806586
NA,1965,2,-9.49607121631769,60.0000008940697
NA,1966,2,1.16642854535686,91.2000013589859
NA,1967,2,-3.62392849042746,59.7000008895993
NA,1968,2,-2.25034477728708,18.4000002741814
NA,1969,2,-4.19821419187688,44.9000006690621
NA,1970,2,-6.47214271247919,68.1000010147691
NA,1971,2,-2.70785708233182,54.1000008061528
NA,1972,2,-0.416551714827274,15.1000002250075
NA,1973,2,-2.11499995272607,65.7000009790063
NA,1974,2,-0.0289285707819675,17.8000002652407
NA,1975,2,-4.61535703969587,24.8000003695488
NA,1976,2,-5.17241367749099,1.00000001490116
NA,1977,2,-1.35464282686423,74.3000011071563
NA,1978,2,-5.0957141718162,26.8000003993511
NA,1979,2,-4.22428561986557,9.60000014305115
NA,1980,2,-2.55758614973005,28.400000423193
NA,1981,2,-3.61571420489677,24.5000003650784
NA,1982,2,-5.63321415980213,23.6000003516674
NA,1983,2,-5.17821416997218,58.9000008776784
NA,1984,2,-4.57344817363753,21.0000003129244
NA,1985,2,-9.60999978519976,57.5000008568168
NA,1986,2,-9.27464264983844,15.6000002324581
NA,1987,2,-4.12071419360914,15.1000002250075
NA,1988,2,-1.83275857972431,55.9000008329749
NA,1989,2,-0.578928558488509,32.2000004798174
NA,1990,2,0.806428553403488,46.6000006943941
NA,1991,2,-6.81321413342708,41.1000006124377
NA,1992,2,-2.19620684746267,52.0000007748604
NA,1993,2,-4.72035703734894,40.8000006079674
NA,1994,2,-3.79928562936506,12.2000001817942
NA,1995,2,0.395357134020222,36.3000005409122
NA,1996,2,-6.93310329330892,19.9000002965331
NA,1997,2,-2.60892851311447,32.1000004783273
NA,1998,2,0.611785700611238,49.9000007435679
NA,1999,2,-3.94714276891734,59.9000008925796
NA,2000,2,-1.8368965106663,44.1000006571412
NA,2001,2,-2.76142850970583,30.2000004500151
NA,2002,2,1.20714283016111,31.900000475347
NA,2003,2,-7.47214269012745,28.6000004261732
NA,2004,2,-2.47689649636119,80.7000012025237
NA,2005,2,-5.93749986728653,51.2000007629395
NA,2006,2,-5.85821415477299,31.7000004723668
NA,2007,2,-0.58249998698011,43.7000006511807
NA,2008,2,-0.174482754720696,19.9000002965331
NA,2009,2,-3.38571421003767,47.3000007048249
NA,2010,2,-3.47535706517686,35.0000005215406
NA,2011,2,-4.04964276662629,8.40000012516975
NA,2012,2,-9.57965495829181,34.7000005170703
NA,2013,2,-2.79821422316932,58.600000873208
