"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-3.14178156852722,22.2566299438477
1961-02-01,1961,2,2.1257791519165,42.2694282531738
1961-03-01,1961,3,5.21589708328247,29.533260345459
1961-04-01,1961,4,10.7414512634277,48.266658782959
1961-05-01,1961,5,9.69813823699951,71.2291564941406
1961-06-01,1961,6,16.1243534088135,49.6579208374023
1961-07-01,1961,7,15.1581878662109,53.2116889953613
1961-08-01,1961,8,15.1143436431885,47.0538368225098
1961-09-01,1961,9,15.1074914932251,24.3429088592529
1961-10-01,1961,10,9.42204856872559,38.2896003723145
1961-11-01,1961,11,2.57274746894836,49.4955177307129
1961-12-01,1961,12,-2.9904797077179,36.1478424072266
1962-01-01,1962,1,-0.577485799789429,27.0264987945557
1962-02-01,1962,2,-1.66827476024628,38.1397171020508
1962-03-01,1962,3,-1.05489718914032,33.0481834411621
1962-04-01,1962,4,8.37052059173584,23.79225730896
1962-05-01,1962,5,9.30680751800537,45.7416496276855
1962-06-01,1962,6,13.5196018218994,8.70228958129883
1962-07-01,1962,7,15.1054420471191,78.4941329956055
1962-08-01,1962,8,15.775463104248,50.5176887512207
1962-09-01,1962,9,11.7140626907349,40.6578559875488
1962-10-01,1962,10,7.2844614982605,15.3085889816284
1962-11-01,1962,11,2.57271528244019,12.1062088012695
1962-12-01,1962,12,-5.89034366607666,30.5361251831055
1963-01-01,1963,1,-8.64626026153564,15.9701156616211
1963-02-01,1963,2,-5.8857250213623,16.9607391357422
1963-03-01,1963,3,1.03790080547333,22.7996006011963
1963-04-01,1963,4,7.76432704925537,25.1854400634766
1963-05-01,1963,5,11.8434019088745,60.5010032653809
1963-06-01,1963,6,15.9150819778442,90.3972854614258
1963-07-01,1963,7,18.0936050415039,43.6808700561523
1963-08-01,1963,8,16.2026557922363,62.7264289855957
1963-09-01,1963,9,13.5848264694214,52.9748954772949
1963-10-01,1963,10,7.6185998916626,18.6942710876465
1963-11-01,1963,11,6.24220323562622,41.5058212280273
1963-12-01,1963,12,-5.24631881713867,6.02496957778931
1964-01-01,1964,1,-5.57615804672241,20.4099655151367
1964-02-01,1964,2,-2.07178258895874,24.8913230895996
1964-03-01,1964,3,-1.10940396785736,25.0262203216553
1964-04-01,1964,4,8.03398418426514,41.8861465454102
1964-05-01,1964,5,13.0259809494019,25.7751979827881
1964-06-01,1964,6,17.6492328643799,20.5513572692871
1964-07-01,1964,7,18.2788314819336,22.7103900909424
1964-08-01,1964,8,15.0774278640747,67.3704986572266
1964-09-01,1964,9,12.6446390151978,16.788761138916
1964-10-01,1964,10,6.6683554649353,58.5114135742188
