"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-3.4576678276062,19.9573211669922
1961-02-01,1961,2,1.75717639923096,26.4508018493652
1961-03-01,1961,3,5.4134840965271,18.316198348999
1961-04-01,1961,4,10.9887456893921,21.6589488983154
1961-05-01,1961,5,11.2444171905518,74.6288375854492
1961-06-01,1961,6,17.0276412963867,121.998390197754
1961-07-01,1961,7,16.1566734313965,78.8616561889648
1961-08-01,1961,8,17.0086250305176,38.7900619506836
1961-09-01,1961,9,15.6445798873901,28.2041568756104
1961-10-01,1961,10,10.0959167480469,65.8767395019531
1961-11-01,1961,11,3.12457346916199,52.6953353881836
1961-12-01,1961,12,-3.25797414779663,40.0780754089355
1962-01-01,1962,1,-1.50146853923798,21.2893753051758
1962-02-01,1962,2,-2.04889965057373,45.5542182922363
1962-03-01,1962,3,-0.838915288448334,52.1140289306641
1962-04-01,1962,4,9.5506420135498,39.9402465820312
1962-05-01,1962,5,10.5245265960693,131.786117553711
1962-06-01,1962,6,14.5020532608032,31.7260074615479
1962-07-01,1962,7,16.1466102600098,41.4237976074219
1962-08-01,1962,8,18.5191898345947,41.6167488098145
1962-09-01,1962,9,12.3427877426147,42.9775390625
1962-10-01,1962,10,7.80778980255127,41.5420303344727
1962-11-01,1962,11,3.02138233184814,97.6496276855469
1962-12-01,1962,12,-5.24512958526611,36.1778221130371
1963-01-01,1963,1,-9.09357166290283,42.9485740661621
1963-02-01,1963,2,-6.92451143264771,21.1908397674561
1963-03-01,1963,3,0.399461716413498,35.9866600036621
1963-04-01,1963,4,8.74130249023438,32.0887832641602
1963-05-01,1963,5,13.3492383956909,86.380615234375
1963-06-01,1963,6,16.8700046539307,79.4036102294922
1963-07-01,1963,7,19.2433052062988,33.9255218505859
1963-08-01,1963,8,17.8213291168213,86.6067581176758
1963-09-01,1963,9,14.4877691268921,66.409912109375
1963-10-01,1963,10,7.79525518417358,29.05837059021
1963-11-01,1963,11,6.54694366455078,47.1678581237793
1963-12-01,1963,12,-5.57898426055908,6.82169580459595
1964-01-01,1964,1,-6.55054092407227,7.80429983139038
1964-02-01,1964,2,-2.03277230262756,16.2663669586182
1964-03-01,1964,3,-0.411817580461502,41.8531761169434
1964-04-01,1964,4,8.83913612365723,24.4426002502441
1964-05-01,1964,5,12.8202142715454,56.5597114562988
1964-06-01,1964,6,18.2813110351562,62.2429695129395
1964-07-01,1964,7,18.6590042114258,53.2355499267578
1964-08-01,1964,8,16.3467235565186,88.9303131103516
1964-09-01,1964,9,13.6842746734619,15.2718715667725
1964-10-01,1964,10,8.14660358428955,144.184906005859
1964-11-01,1964,11,4.3652491569519,27.5903148651123
1964-12-01,1964,12,-1.85956645011902,43.3494262695312
1965-01-01,1965,1,-1.55134642124176,57.3314971923828
1965-02-01,1965,2,-5.02331876754761,23.4624614715576
1965-03-01,1965,3,1.08427166938782,36.5473403930664
1965-04-01,1965,4,6.33485794067383,70.4185485839844
1965-05-01,1965,5,10.7106685638428,114.353775024414
1965-06-01,1965,6,15.4341402053833,88.2060394287109
1965-07-01,1965,7,16.0750961303711,99.2612991333008
1965-08-01,1965,8,15.1027774810791,57.258716583252
1965-09-01,1965,9,13.5186929702759,50.356330871582
1965-10-01,1965,10,6.17792892456055,7.11807155609131
1965-11-01,1965,11,0.0556008294224739,30.8504276275635
1965-12-01,1965,12,0.052588690072298,52.7132225036621
1966-01-01,1966,1,-5.78118324279785,19.7753753662109
1966-02-01,1966,2,4.14417362213135,39.5043029785156
1966-03-01,1966,3,2.78579020500183,26.2928600311279
1966-04-01,1966,4,9.80098628997803,53.6233062744141
1966-05-01,1966,5,13.0735216140747,59.0679473876953
1966-06-01,1966,6,16.6179466247559,123.172889709473
1966-07-01,1966,7,16.6634368896484,155.02082824707
1966-08-01,1966,8,16.1367683410645,86.1852111816406
1966-09-01,1966,9,12.758641242981,36.5965118408203
1966-10-01,1966,10,11.8633527755737,36.9108428955078
1966-11-01,1966,11,2.40426540374756,47.7090682983398
1966-12-01,1966,12,-0.151990085840225,75.9153366088867
1967-01-01,1967,1,-2.99120736122131,23.7696990966797
1967-02-01,1967,2,-0.140107303857803,29.0889587402344
1967-03-01,1967,3,4.50140857696533,39.9038009643555
1967-04-01,1967,4,7.68040037155151,31.4892749786377
1967-05-01,1967,5,13.4432287216187,67.3771591186523
1967-06-01,1967,6,15.8978147506714,71.7552185058594
1967-07-01,1967,7,19.2951793670654,74.4485778808594
1967-08-01,1967,8,17.030611038208,59.0624923706055
1967-09-01,1967,9,14.8607292175293,93.0995712280273
1967-10-01,1967,10,10.225471496582,18.3790264129639
1967-11-01,1967,11,2.92640447616577,33.4324340820312
1967-12-01,1967,12,-1.5783257484436,53.2770156860352
1968-01-01,1968,1,-4.0667724609375,49.1157684326172
1968-02-01,1968,2,0.147827610373497,28.3113441467285
1968-03-01,1968,3,3.66673111915588,39.6459579467773
1968-04-01,1968,4,9.6793270111084,24.5663909912109
1968-05-01,1968,5,12.3445243835449,65.0358581542969
1968-06-01,1968,6,17.2125701904297,73.5224227905273
1968-07-01,1968,7,17.0384082794189,59.4911651611328
1968-08-01,1968,8,16.2873306274414,126.827537536621
1968-09-01,1968,9,13.1680145263672,42.2548522949219
1968-10-01,1968,10,8.2552661895752,34.5583992004395
1968-11-01,1968,11,4.16351747512817,57.8128242492676
1968-12-01,1968,12,-3.76192021369934,18.5768222808838
1969-01-01,1969,1,-3.25043559074402,34.9681549072266
1969-02-01,1969,2,-2.56113839149475,45.1672630310059
1969-03-01,1969,3,-0.387818098068237,41.5471954345703
1969-04-01,1969,4,7.90269660949707,15.5080099105835
1969-05-01,1969,5,15.1833553314209,84.0422821044922
1969-06-01,1969,6,15.5483932495117,105.098892211914
1969-07-01,1969,7,18.2946758270264,23.3944969177246
1969-08-01,1969,8,15.9504632949829,82.5639266967773
1969-09-01,1969,9,13.594181060791,18.2278747558594
1969-10-01,1969,10,9.21085739135742,12.0899829864502
1969-11-01,1969,11,4.45940732955933,59.7431411743164
1969-12-01,1969,12,-5.99862861633301,37.0585441589355
1970-01-01,1970,1,-3.59208250045776,16.849292755127
1970-02-01,1970,2,-2.98907589912415,98.9706649780273
1970-03-01,1970,3,0.922278523445129,50.3771629333496
1970-04-01,1970,4,6.88628482818604,48.5892143249512
1970-05-01,1970,5,11.7170753479004,12.587944984436
1970-06-01,1970,6,16.7711753845215,70.8563232421875
1970-07-01,1970,7,17.0166854858398,95.1114120483398
1970-08-01,1970,8,16.7926082611084,102.680519104004
1970-09-01,1970,9,12.2413387298584,18.2667236328125
1970-10-01,1970,10,7.62367677688599,36.6647338867188
1970-11-01,1970,11,5.38142061233521,78.5052337646484
1970-12-01,1970,12,-0.733389973640442,36.1382865905762
1971-01-01,1971,1,-3.76537656784058,29.2032947540283
1971-02-01,1971,2,0.627556979656219,28.4708404541016
1971-03-01,1971,3,0.342498511075974,41.0005836486816
1971-04-01,1971,4,8.37572193145752,35.5868873596191
1971-05-01,1971,5,14.7241334915161,48.1592750549316
1971-06-01,1971,6,14.4312963485718,65.7738189697266
1971-07-01,1971,7,18.0840492248535,53.4774436950684
1971-08-01,1971,8,19.1089038848877,36.484504699707
1971-09-01,1971,9,11.1887855529785,37.704460144043
1971-10-01,1971,10,7.17354440689087,18.4877967834473
1971-11-01,1971,11,2.45360040664673,50.5741348266602
1971-12-01,1971,12,2.29256153106689,30.2718677520752
1972-01-01,1972,1,-3.57242798805237,42.681266784668
1972-02-01,1972,2,1.78601622581482,29.0730419158936
1972-03-01,1972,3,5.134446144104,20.704870223999
1972-04-01,1972,4,7.42196130752563,88.8079223632812
1972-05-01,1972,5,12.5757541656494,79.4342956542969
1972-06-01,1972,6,16.5491733551025,71.1939010620117
1972-07-01,1972,7,18.2434558868408,93.3194885253906
1972-08-01,1972,8,16.3997077941895,58.7620735168457
1972-09-01,1972,9,10.8372507095337,45.7659225463867
1972-10-01,1972,10,5.84403657913208,8.18407535552979
1972-11-01,1972,11,3.37656855583191,36.1722412109375
1972-12-01,1972,12,-0.970052599906921,6.84242534637451
1973-01-01,1973,1,-1.76538240909576,31.348575592041
1973-02-01,1973,2,0.102611280977726,39.2918128967285
1973-03-01,1973,3,3.58598494529724,10.6603708267212
1973-04-01,1973,4,5.75461912155151,65.2765274047852
1973-05-01,1973,5,13.0774421691895,33.6926689147949
1973-06-01,1973,6,15.6226720809937,69.4095687866211
1973-07-01,1973,7,17.3725872039795,51.4252166748047
1973-08-01,1973,8,18.0952339172363,34.0428352355957
1973-09-01,1973,9,14.0389766693115,53.8866386413574
1973-10-01,1973,10,6.10513591766357,27.2875232696533
1973-11-01,1973,11,0.907018065452576,31.0533847808838
1973-12-01,1973,12,-1.1390894651413,26.1349945068359
1974-01-01,1974,1,0.815288603305817,34.2435264587402
1974-02-01,1974,2,2.94205021858215,24.9983367919922
1974-03-01,1974,3,6.14426422119141,10.3564777374268
1974-04-01,1974,4,7.59483289718628,11.280104637146
1974-05-01,1974,5,11.7502107620239,38.5296592712402
1974-06-01,1974,6,14.0242795944214,91.0997314453125
1974-07-01,1974,7,16.0877799987793,99.4761047363281
1974-08-01,1974,8,19.0310688018799,79.8882369995117
1974-09-01,1974,9,13.0811347961426,24.4690856933594
1974-10-01,1974,10,4.8081693649292,93.7155456542969
1974-11-01,1974,11,3.09802937507629,43.70947265625
1974-12-01,1974,12,3.0300281047821,67.7324447631836
1975-01-01,1975,1,2.04165816307068,18.691427230835
1975-02-01,1975,2,-1.0882385969162,7.92370176315308
1975-03-01,1975,3,3.96864175796509,44.4199066162109
1975-04-01,1975,4,7.22972106933594,23.2959785461426
1975-05-01,1975,5,13.4622354507446,91.7643432617188
1975-06-01,1975,6,15.5556573867798,66.490837097168
1975-07-01,1975,7,18.2629814147949,44.9910545349121
1975-08-01,1975,8,17.7986469268799,58.9313926696777
1975-09-01,1975,9,16.1806602478027,33.0696487426758
1975-10-01,1975,10,7.66845941543579,74.1161804199219
1975-11-01,1975,11,1.38692533969879,44.8650169372559
1975-12-01,1975,12,-0.565845012664795,26.1353321075439
1976-01-01,1976,1,-0.90101146697998,96.6656188964844
1976-02-01,1976,2,-1.22527432441711,17.7871856689453
1976-03-01,1976,3,-0.0572292469441891,16.25510597229
1976-04-01,1976,4,7.65980863571167,17.4284725189209
1976-05-01,1976,5,12.7890968322754,93.0127792358398
1976-06-01,1976,6,16.6183643341064,23.7178554534912
1976-07-01,1976,7,18.8858814239502,34.948314666748
1976-08-01,1976,8,15.2524471282959,64.4778900146484
1976-09-01,1976,9,12.148120880127,47.6413803100586
1976-10-01,1976,10,9.37810134887695,50.0914306640625
1976-11-01,1976,11,4.76623630523682,82.7706451416016
1976-12-01,1976,12,-1.79247057437897,31.8262252807617
1977-01-01,1977,1,-1.59375607967377,97.9397964477539
1977-02-01,1977,2,0.840098559856415,73.6894836425781
1977-03-01,1977,3,6.04900693893433,57.1226081848145
1977-04-01,1977,4,6.32639312744141,41.9461097717285
1977-05-01,1977,5,12.4478216171265,61.6169090270996
1977-06-01,1977,6,16.7095031738281,41.5124473571777
1977-07-01,1977,7,16.9750366210938,76.7329864501953
1977-08-01,1977,8,16.0622673034668,139.956527709961
1977-09-01,1977,9,11.0560417175293,49.8925819396973
1977-10-01,1977,10,9.19537734985352,14.3214254379272
1977-11-01,1977,11,4.18618822097778,56.3266181945801
1977-12-01,1977,12,-1.42520487308502,15.781720161438
1978-01-01,1978,1,-0.96049165725708,25.9635219573975
1978-02-01,1978,2,-3.02025103569031,22.5394153594971
1978-03-01,1978,3,4.0305323600769,28.3083763122559
1978-04-01,1978,4,6.39322948455811,50.107177734375
1978-05-01,1978,5,11.2950878143311,76.1305084228516
1978-06-01,1978,6,14.9540157318115,67.6740264892578
1978-07-01,1978,7,15.5424661636353,93.0827331542969
1978-08-01,1978,8,15.474591255188,69.4627990722656
1978-09-01,1978,9,12.245813369751,30.473913192749
1978-10-01,1978,10,8.76677322387695,27.8367137908936
1978-11-01,1978,11,1.25448393821716,34.0722236633301
1978-12-01,1978,12,-1.0810534954071,32.481273651123
1979-01-01,1979,1,-5.58770513534546,41.1000671386719
1979-02-01,1979,2,-1.86204206943512,37.3763542175293
1979-03-01,1979,3,3.88115572929382,56.9930381774902
1979-04-01,1979,4,6.52371740341187,65.8250732421875
1979-05-01,1979,5,13.7781801223755,24.1613101959229
1979-06-01,1979,6,17.9041709899902,112.438621520996
1979-07-01,1979,7,15.2350397109985,49.5522384643555
1979-08-01,1979,8,16.0723896026611,75.7229232788086
1979-09-01,1979,9,13.3465671539307,60.114933013916
1979-10-01,1979,10,6.82679796218872,16.8739585876465
1979-11-01,1979,11,3.02671504020691,78.7814102172852
1979-12-01,1979,12,2.54541087150574,57.5432510375977
1980-01-01,1980,1,-5.08917665481567,22.4996337890625
1980-02-01,1980,2,0.313632875680923,23.3734664916992
1980-03-01,1980,3,1.72502529621124,24.7483711242676
1980-04-01,1980,4,5.12348031997681,70.7129821777344
1980-05-01,1980,5,10.1391830444336,45.1814117431641
1980-06-01,1980,6,14.8970165252686,112.264656066895
1980-07-01,1980,7,15.7320985794067,84.990478515625
1980-08-01,1980,8,16.4471626281738,30.59814453125
1980-09-01,1980,9,12.3832168579102,37.9638404846191
1980-10-01,1980,10,7.42956733703613,59.6724052429199
1980-11-01,1980,11,1.33257341384888,31.6432247161865
1980-12-01,1980,12,-1.18916416168213,30.7017860412598
1981-01-01,1981,1,-4.0240330696106,39.0650253295898
1981-02-01,1981,2,-1.28196740150452,28.9397583007812
1981-03-01,1981,3,6.074049949646,58.3551559448242
1981-04-01,1981,4,6.88413143157959,24.1817989349365
1981-05-01,1981,5,13.4818916320801,94.2163772583008
1981-06-01,1981,6,16.7174873352051,69.5219497680664
1981-07-01,1981,7,16.813404083252,73.1076202392578
1981-08-01,1981,8,16.8926162719727,31.5825691223145
1981-09-01,1981,9,13.9107322692871,96.4695434570312
1981-10-01,1981,10,8.53293609619141,94.3352661132812
1981-11-01,1981,11,3.12929177284241,39.6284103393555
1981-12-01,1981,12,-2.66895246505737,72.8450622558594
1982-01-01,1982,1,-5.4931321144104,40.189380645752
1982-02-01,1982,2,-2.32963919639587,2.89994716644287
1982-03-01,1982,3,3.7195770740509,26.2345676422119
1982-04-01,1982,4,5.66338014602661,12.1269044876099
1982-05-01,1982,5,13.4387235641479,65.8837585449219
1982-06-01,1982,6,16.6939830780029,87.3142318725586
1982-07-01,1982,7,18.5842113494873,100.223838806152
1982-08-01,1982,8,17.9941520690918,91.9744720458984
