"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-4.410728931427,23.830265045166
1961-02-01,1961,2,0.162961110472679,44.3291053771973
1961-03-01,1961,3,1.81200861930847,36.2634773254395
1961-04-01,1961,4,7.40694761276245,56.3105354309082
1961-05-01,1961,5,6.10349798202515,58.0847015380859
1961-06-01,1961,6,12.275276184082,121.137908935547
1961-07-01,1961,7,11.4781541824341,18.8137321472168
1961-08-01,1961,8,12.3253870010376,45.3802108764648
1961-09-01,1961,9,12.8344507217407,26.7791557312012
1961-10-01,1961,10,6.13135147094727,32.3505592346191
1961-11-01,1961,11,0.123420611023903,31.9024105072021
1961-12-01,1961,12,-4.00087451934814,50.2624969482422
1962-01-01,1962,1,-3.5885865688324,67.4994659423828
1962-02-01,1962,2,-5.50443744659424,76.5886459350586
1962-03-01,1962,3,-4.80206108093262,51.5806427001953
1962-04-01,1962,4,4.10311651229858,41.9372291564941
1962-05-01,1962,5,5.14239263534546,146.937301635742
1962-06-01,1962,6,9.53492450714111,38.3658218383789
1962-07-01,1962,7,11.2528619766235,68.8382034301758
1962-08-01,1962,8,13.149528503418,37.9576454162598
1962-09-01,1962,9,8.50353527069092,75.178337097168
1962-10-01,1962,10,5.15999221801758,21.096794128418
1962-11-01,1962,11,-1.23889541625977,37.8777084350586
1962-12-01,1962,12,-6.92308568954468,53.0073204040527
1963-01-01,1963,1,-10.4429168701172,39.3143043518066
1963-02-01,1963,2,-8.87926197052002,19.3258266448975
1963-03-01,1963,3,-1.15643525123596,45.2987251281738
1963-04-01,1963,4,3.87011790275574,26.1052474975586
1963-05-01,1963,5,7.54483032226562,88.9378128051758
1963-06-01,1963,6,11.8955631256104,148.389465332031
1963-07-01,1963,7,13.9517860412598,54.5661773681641
1963-08-01,1963,8,12.2488594055176,89.9313278198242
1963-09-01,1963,9,10.0993576049805,61.5051727294922
1963-10-01,1963,10,4.24770593643188,18.8553161621094
1963-11-01,1963,11,3.20061898231506,89.7751846313477
1963-12-01,1963,12,-6.73335361480713,9.59696483612061
1964-01-01,1964,1,-5.9385027885437,7.35908985137939
1964-02-01,1964,2,-3.7688627243042,20.9805088043213
1964-03-01,1964,3,-4.4747896194458,47.7990646362305
1964-04-01,1964,4,4.3486967086792,51.803825378418
1964-05-01,1964,5,8.56155300140381,66.1506195068359
1964-06-01,1964,6,13.1506652832031,82.5175628662109
1964-07-01,1964,7,13.8531293869019,73.9150695800781
1964-08-01,1964,8,11.3219270706177,146.050003051758
1964-09-01,1964,9,9.10174942016602,29.4015693664551
1964-10-01,1964,10,2.86264491081238,122.13948059082
1964-11-01,1964,11,0.427226603031158,63.4878845214844
1964-12-01,1964,12,-3.62497234344482,54.6315116882324
1965-01-01,1965,1,-2.79530787467957,56.3366546630859
1965-02-01,1965,2,-7.95444250106812,72.5321502685547
1965-03-01,1965,3,-2.2655291557312,53.6851654052734
1965-04-01,1965,4,1.81709313392639,81.6721725463867
1965-05-01,1965,5,5.85047245025635,153.753753662109
1965-06-01,1965,6,11.2761240005493,122.128578186035
1965-07-01,1965,7,11.2128915786743,110.944602966309
1965-08-01,1965,8,10.819263458252,63.5758628845215
1965-09-01,1965,9,8.66684246063232,56.8244590759277
1965-10-01,1965,10,4.81760549545288,10.2330131530762
1965-11-01,1965,11,-2.37430500984192,59.4964218139648
1965-12-01,1965,12,-2.01721715927124,99.4535369873047
1966-01-01,1966,1,-7.29522657394409,42.3677940368652
1966-02-01,1966,2,1.61254870891571,42.8314094543457
1966-03-01,1966,3,-1.95952808856964,65.3848342895508
1966-04-01,1966,4,4.81651973724365,84.0765609741211
1966-05-01,1966,5,8.24092769622803,46.6821479797363
1966-06-01,1966,6,12.1488399505615,188.021591186523
1966-07-01,1966,7,11.803882598877,148.634460449219
1966-08-01,1966,8,11.1799345016479,158.509658813477
1966-09-01,1966,9,9.39008712768555,37.9538879394531
1966-10-01,1966,10,7.85935974121094,46.0862808227539
1966-11-01,1966,11,-1.78190183639526,46.7095069885254
1966-12-01,1966,12,-3.09670877456665,141.958267211914
1967-01-01,1967,1,-3.85872793197632,58.167121887207
1967-02-01,1967,2,-2.55316591262817,57.759578704834
1967-03-01,1967,3,0.0397352166473866,65.1441345214844
1967-04-01,1967,4,1.92288851737976,41.5179290771484
1967-05-01,1967,5,7.85001039505005,101.808097839355
1967-06-01,1967,6,10.8592195510864,64.0938186645508
1967-07-01,1967,7,14.8291244506836,58.4872665405273
1967-08-01,1967,8,11.9945154190063,80.8985061645508
1967-09-01,1967,9,9.75506687164307,99.4170455932617
1967-10-01,1967,10,7.42990970611572,31.8642330169678
1967-11-01,1967,11,-0.0831933170557022,29.1092090606689
1967-12-01,1967,12,-4.27037382125854,87.0165023803711
1968-01-01,1968,1,-5.54418230056763,65.7585678100586
1968-02-01,1968,2,-3.08227968215942,10.4714221954346
1968-03-01,1968,3,-0.616273105144501,34.710018157959
1968-04-01,1968,4,3.94928908348083,37.8568801879883
1968-05-01,1968,5,6.80835723876953,66.3224029541016
1968-06-01,1968,6,11.4497718811035,83.1839294433594
1968-07-01,1968,7,11.8713407516479,50.8029327392578
1968-08-01,1968,8,11.7028007507324,141.786331176758
1968-09-01,1968,9,8.75110626220703,67.8749008178711
1968-10-01,1968,10,6.06590557098389,19.8753395080566
1968-11-01,1968,11,0.173951208591461,19.8365917205811
1968-12-01,1968,12,-5.62347841262817,26.0547161102295
1969-01-01,1969,1,-2.35439920425415,32.3197479248047
1969-02-01,1969,2,-5.78190517425537,35.1658630371094
1969-03-01,1969,3,-3.30818557739258,47.9979286193848
1969-04-01,1969,4,2.12779211997986,47.5019798278809
1969-05-01,1969,5,9.70279884338379,46.7780952453613
1969-06-01,1969,6,10.1979742050171,181.756698608398
1969-07-01,1969,7,14.0223026275635,26.0890483856201
1969-08-01,1969,8,11.3831844329834,83.0151138305664
1969-09-01,1969,9,9.6970100402832,64.921012878418
1969-10-01,1969,10,6.71607780456543,5.5687255859375
1969-11-01,1969,11,0.804290413856506,85.1506195068359
1969-12-01,1969,12,-7.72326374053955,25.9118099212646
1970-01-01,1970,1,-4.62509918212891,12.7740335464478
1970-02-01,1970,2,-5.1373553276062,151.886093139648
1970-03-01,1970,3,-3.23049974441528,67.1747817993164
1970-04-01,1970,4,0.948270440101624,57.1469421386719
1970-05-01,1970,5,5.51705026626587,72.8339767456055
1970-06-01,1970,6,12.2970247268677,74.2359619140625
1970-07-01,1970,7,12.6366014480591,64.0357437133789
1970-08-01,1970,8,12.5442018508911,105.971267700195
1970-09-01,1970,9,9.41315937042236,44.2819290161133
1970-10-01,1970,10,4.3736777305603,75.2471618652344
1970-11-01,1970,11,2.3444836139679,31.7415142059326
1970-12-01,1970,12,-4.16622352600098,40.8216896057129
1971-01-01,1971,1,-4.10943222045898,3.49671316146851
1971-02-01,1971,2,-4.58334302902222,25.1754322052002
1971-03-01,1971,3,-4.09538698196411,36.2418327331543
1971-04-01,1971,4,4.12280988693237,30.4871196746826
1971-05-01,1971,5,9.69594955444336,58.1747093200684
1971-06-01,1971,6,9.53827571868896,92.7192306518555
1971-07-01,1971,7,14.1153926849365,30.9015045166016
1971-08-01,1971,8,14.4715690612793,97.4981155395508
1971-09-01,1971,9,7.22968769073486,70.071662902832
1971-10-01,1971,10,4.80280876159668,20.5139274597168
1971-11-01,1971,11,-0.545416533946991,73.6667938232422
1971-12-01,1971,12,-0.715051770210266,27.59983253479
1972-01-01,1972,1,-6.1158709526062,15.5267791748047
1972-02-01,1972,2,-1.72108089923859,21.576976776123
1972-03-01,1972,3,0.886277377605438,34.2807693481445
1972-04-01,1972,4,2.36219215393066,97.0750045776367
1972-05-01,1972,5,6.97928380966187,83.5824127197266
1972-06-01,1972,6,11.2973442077637,66.0341186523438
1972-07-01,1972,7,13.6636209487915,115.476142883301
1972-08-01,1972,8,11.8670692443848,49.3377914428711
1972-09-01,1972,9,6.2597770690918,48.6472816467285
1972-10-01,1972,10,2.1243417263031,19.6111183166504
1972-11-01,1972,11,-0.0437230207026005,48.8486137390137
1972-12-01,1972,12,-2.26296997070312,5.8398871421814
1973-01-01,1973,1,-3.49600648880005,24.3919715881348
1973-02-01,1973,2,-4.06520652770996,47.6756362915039
1973-03-01,1973,3,-1.11849784851074,25.6985893249512
1973-04-01,1973,4,0.172531023621559,54.3995208740234
1973-05-01,1973,5,8.32473087310791,50.4945373535156
1973-06-01,1973,6,11.384804725647,153.182464599609
1973-07-01,1973,7,12.4440584182739,86.6403274536133
1973-08-01,1973,8,13.971791267395,16.0545310974121
1973-09-01,1973,9,10.6729421615601,36.0945358276367
1973-10-01,1973,10,2.97153997421265,36.4794502258301
1973-11-01,1973,11,-1.43089771270752,70.6647491455078
1973-12-01,1973,12,-4.77249908447266,60.4718742370605
1974-01-01,1974,1,-0.222669720649719,34.1797561645508
1974-02-01,1974,2,-1.52852916717529,54.3465003967285
1974-03-01,1974,3,1.72610998153687,19.8134517669678
1974-04-01,1974,4,2.77261853218079,48.6820793151855
1974-05-01,1974,5,6.64453744888306,138.445556640625
1974-06-01,1974,6,9.31638431549072,134.189819335938
1974-07-01,1974,7,11.3364515304565,146.860748291016
1974-08-01,1974,8,13.8090448379517,106.843124389648
1974-09-01,1974,9,9.20448780059814,63.129508972168
1974-10-01,1974,10,0.0805418342351913,93.6326446533203
1974-11-01,1974,11,-0.526992857456207,44.1785163879395
1974-12-01,1974,12,-0.348621517419815,127.592056274414
1975-01-01,1975,1,-0.341067045927048,38.3957481384277
1975-02-01,1975,2,-3.04542756080627,15.3045425415039
1975-03-01,1975,3,-0.425852924585342,84.0891647338867
1975-04-01,1975,4,2.11363840103149,52.360668182373
1975-05-01,1975,5,7.99232912063599,88.8713226318359
1975-06-01,1975,6,9.99855995178223,168.28742980957
1975-07-01,1975,7,13.6969842910767,119.651763916016
1975-08-01,1975,8,13.4695196151733,93.4686126708984
1975-09-01,1975,9,12.4100933074951,40.7089462280273
1975-10-01,1975,10,4.59802579879761,56.529956817627
1975-11-01,1975,11,-1.38822162151337,54.4025344848633
1975-12-01,1975,12,-3.73010897636414,28.0596199035645
1976-01-01,1976,1,-3.7360897064209,165.145294189453
1976-02-01,1976,2,-2.60983443260193,10.4064645767212
1976-03-01,1976,3,-3.99157047271729,15.1709442138672
1976-04-01,1976,4,2.36127066612244,57.1443710327148
1976-05-01,1976,5,8.33735275268555,64.3783645629883
1976-06-01,1976,6,12.6559267044067,35.1111335754395
1976-07-01,1976,7,14.866174697876,184.129028320312
1976-08-01,1976,8,10.4224796295166,56.365779876709
1976-09-01,1976,9,8.10702037811279,40.6389389038086
1976-10-01,1976,10,6.45709943771362,48.5031471252441
1976-11-01,1976,11,0.318574368953705,77.0487289428711
1976-12-01,1976,12,-5.54990911483765,46.2426109313965
1977-01-01,1977,1,-3.13698887825012,42.5141296386719
1977-02-01,1977,2,-1.09464204311371,60.6034965515137
1977-03-01,1977,3,2.19828391075134,56.7262344360352
