"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-2.38811016082764,13.2841682434082
1961-02-01,1961,2,3.09148406982422,30.6064262390137
1961-03-01,1961,3,6.70929908752441,28.2955360412598
1961-04-01,1961,4,12.41761302948,55.4859352111816
1961-05-01,1961,5,11.5768518447876,73.2970962524414
1961-06-01,1961,6,17.5767383575439,84.6526641845703
1961-07-01,1961,7,16.9146041870117,49.4807243347168
1961-08-01,1961,8,16.8201847076416,56.9262275695801
1961-09-01,1961,9,15.4728307723999,22.5356063842773
1961-10-01,1961,10,10.2616672515869,41.7810974121094
1961-11-01,1961,11,3.42311191558838,32.9518013000488
1961-12-01,1961,12,-1.93225729465485,26.5605125427246
1962-01-01,1962,1,0.360900670289993,17.0009765625
1962-02-01,1962,2,-0.229603245854378,22.6529731750488
1962-03-01,1962,3,0.813974440097809,39.2294273376465
1962-04-01,1962,4,10.2349720001221,28.4735260009766
1962-05-01,1962,5,11.4293813705444,62.1980743408203
1962-06-01,1962,6,15.8322792053223,25.474271774292
1962-07-01,1962,7,16.5504856109619,55.8816757202148
1962-08-01,1962,8,17.4953956604004,39.4015922546387
1962-09-01,1962,9,13.0548105239868,45.546272277832
1962-10-01,1962,10,7.85739421844482,21.8922557830811
1962-11-01,1962,11,3.73105812072754,10.5041837692261
1962-12-01,1962,12,-4.32776498794556,17.2473087310791
1963-01-01,1963,1,-7.46085214614868,10.9421977996826
1963-02-01,1963,2,-6.29607629776001,18.1380748748779
1963-03-01,1963,3,1.67018055915833,20.0912418365479
1963-04-01,1963,4,9.76845264434814,31.9785537719727
1963-05-01,1963,5,13.5365676879883,47.4469413757324
1963-06-01,1963,6,17.768138885498,118.896293640137
1963-07-01,1963,7,19.5327396392822,42.0395851135254
1963-08-01,1963,8,17.9792232513428,61.799617767334
1963-09-01,1963,9,14.8149700164795,52.3208541870117
1963-10-01,1963,10,8.40567302703857,14.6475534439087
1963-11-01,1963,11,7.66608715057373,37.8942337036133
1963-12-01,1963,12,-4.88526773452759,4.77360582351685
1964-01-01,1964,1,-5.56331157684326,17.9068737030029
1964-02-01,1964,2,-0.622217893600464,13.5770454406738
1964-03-01,1964,3,0.219233378767967,32.0172004699707
1964-04-01,1964,4,9.86153221130371,36.4020347595215
1964-05-01,1964,5,14.8706998825073,35.6308860778809
1964-06-01,1964,6,19.2586154937744,27.6351184844971
1964-07-01,1964,7,19.9590549468994,21.3022155761719
1964-08-01,1964,8,16.637622833252,90.2733459472656
1964-09-01,1964,9,13.6452922821045,28.345760345459
1964-10-01,1964,10,7.57067489624023,89.6622924804688
1964-11-01,1964,11,4.67269039154053,33.9209861755371
1964-12-01,1964,12,-0.256788402795792,11.3758926391602
1965-01-01,1965,1,0.965360939502716,37.2516746520996
1965-02-01,1965,2,-2.41852617263794,22.2819309234619
1965-03-01,1965,3,0.932708561420441,43.9848899841309
1965-04-01,1965,4,7.66049480438232,72.6403198242188
