"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-3.78504395484924,34.8704719543457
1961-02-01,1961,2,0.723401844501495,58.2390441894531
1961-03-01,1961,3,2.02993011474609,93.0811157226562
1961-04-01,1961,4,7.5771918296814,81.3794326782227
1961-05-01,1961,5,6.18304824829102,113.305992126465
1961-06-01,1961,6,12.203929901123,136.759429931641
1961-07-01,1961,7,11.2685232162476,72.7954406738281
1961-08-01,1961,8,12.0689535140991,129.622253417969
1961-09-01,1961,9,13.1883811950684,61.9267997741699
1961-10-01,1961,10,6.41549015045166,80.1014938354492
1961-11-01,1961,11,0.150742992758751,56.2943115234375
1961-12-01,1961,12,-3.87791991233826,85.9034957885742
1962-01-01,1962,1,-3.08563709259033,87.0949020385742
1962-02-01,1962,2,-5.02443790435791,74.1091232299805
1962-03-01,1962,3,-4.61726665496826,79.1555023193359
1962-04-01,1962,4,4.17721557617188,56.0916404724121
1962-05-01,1962,5,5.20888519287109,171.915100097656
1962-06-01,1962,6,9.80657768249512,42.4916534423828
1962-07-01,1962,7,11.400671005249,100.933990478516
1962-08-01,1962,8,12.9869632720947,77.3471908569336
1962-09-01,1962,9,8.61846256256104,79.4987335205078
1962-10-01,1962,10,5.43717241287231,16.0716552734375
1962-11-01,1962,11,-1.23708212375641,27.2581233978271
1962-12-01,1962,12,-6.91606378555298,62.9424324035645
1963-01-01,1963,1,-10.4479351043701,46.4738349914551
1963-02-01,1963,2,-8.58490467071533,18.2667179107666
1963-03-01,1963,3,-0.735605657100677,53.167839050293
1963-04-01,1963,4,4.31960248947144,26.1214218139648
1963-05-01,1963,5,8.08751010894775,99.1833419799805
1963-06-01,1963,6,11.6882066726685,151.244720458984
1963-07-01,1963,7,14.1377830505371,62.3446006774902
1963-08-01,1963,8,12.4522562026978,92.633056640625
1963-09-01,1963,9,10.3350763320923,80.5617446899414
1963-10-01,1963,10,4.43267011642456,43.0692253112793
1963-11-01,1963,11,3.30170941352844,129.591506958008
