"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-3.37670159339905,20.6482238769531
1961-02-01,1961,2,1.0919269323349,69.1081161499023
1961-03-01,1961,3,5.09304428100586,23.7334804534912
1961-04-01,1961,4,10.7881879806519,38.9571571350098
1961-05-01,1961,5,10.6425142288208,96.3878402709961
1961-06-01,1961,6,16.8433856964111,148.229675292969
1961-07-01,1961,7,15.452808380127,101.649696350098
1961-08-01,1961,8,16.2091331481934,41.5966606140137
1961-09-01,1961,9,14.8176622390747,17.2707271575928
1961-10-01,1961,10,10.1397094726562,78.9429168701172
1961-11-01,1961,11,3.23731780052185,103.721153259277
1961-12-01,1961,12,-3.2533266544342,51.0031394958496
1962-01-01,1962,1,-1.48470389842987,13.6111793518066
1962-02-01,1962,2,-2.31370496749878,54.2389335632324
1962-03-01,1962,3,-0.761284649372101,61.1752471923828
1962-04-01,1962,4,9.10782337188721,69.2418899536133
1962-05-01,1962,5,9.91866683959961,129.853912353516
1962-06-01,1962,6,13.6318883895874,22.5059375762939
1962-07-01,1962,7,15.3494577407837,99.8329162597656
1962-08-01,1962,8,17.3840522766113,15.5332450866699
1962-09-01,1962,9,11.9234657287598,37.1811218261719
1962-10-01,1962,10,7.48764419555664,54.8726844787598
1962-11-01,1962,11,3.05497646331787,150.806503295898
1962-12-01,1962,12,-5.24161338806152,53.1355476379395
1963-01-01,1963,1,-8.9350757598877,25.8132553100586
1963-02-01,1963,2,-6.74247598648071,36.0241737365723
1963-03-01,1963,3,0.13108067214489,35.2182121276855
1963-04-01,1963,4,8.53193378448486,25.6462345123291
1963-05-01,1963,5,12.8774843215942,111.608253479004
1963-06-01,1963,6,16.4169178009033,78.9687423706055
1963-07-01,1963,7,18.2655487060547,18.978982925415
1963-08-01,1963,8,17.3125991821289,103.795989990234
1963-09-01,1963,9,14.1951761245728,68.259880065918
1963-10-01,1963,10,7.40049600601196,52.6579437255859
1963-11-01,1963,11,7.01855421066284,58.4844055175781
1963-12-01,1963,12,-5.57283926010132,17.2565422058105
1964-01-01,1964,1,-6.89572429656982,4.22885131835938
1964-02-01,1964,2,-1.9749413728714,23.2624092102051
1964-03-01,1964,3,-0.772945523262024,40.1589813232422
1964-04-01,1964,4,8.9114294052124,51.852222442627
1964-05-01,1964,5,12.4455995559692,99.3100280761719
1964-06-01,1964,6,17.9092597961426,83.0044784545898
1964-07-01,1964,7,17.4826393127441,62.5620994567871
1964-08-01,1964,8,15.2719507217407,71.7439956665039
1964-09-01,1964,9,12.9769687652588,18.2055797576904
1964-10-01,1964,10,7.31038999557495,135.278442382812
1964-11-01,1964,11,3.97427535057068,29.7820606231689
1964-12-01,1964,12,-1.85624182224274,46.3320236206055
1965-01-01,1965,1,-1.26352787017822,58.609130859375
1965-02-01,1965,2,-5.06257724761963,11.4010105133057
1965-03-01,1965,3,2.08741927146912,33.976245880127
1965-04-01,1965,4,6.18011713027954,111.092849731445
1965-05-01,1965,5,10.7413444519043,133.6884765625
1965-06-01,1965,6,15.3565921783447,170.15608215332
1965-07-01,1965,7,16.0179138183594,110.634132385254
1965-08-01,1965,8,14.6650428771973,58.768726348877
1965-09-01,1965,9,13.8065643310547,48.291561126709
1965-10-01,1965,10,6.44068193435669,18.4661731719971
1965-11-01,1965,11,0.30485612154007,45.7248420715332
1965-12-01,1965,12,0.116553537547588,55.6920127868652
1966-01-01,1966,1,-5.67070150375366,34.1398429870605
1966-02-01,1966,2,4.85805511474609,60.8337593078613
1966-03-01,1966,3,2.45555114746094,22.625431060791
1966-04-01,1966,4,9.7298469543457,63.3950614929199
1966-05-01,1966,5,12.5062589645386,76.074348449707
1966-06-01,1966,6,16.0318489074707,163.047439575195
1966-07-01,1966,7,16.1318359375,111.968742370605
1966-08-01,1966,8,15.6311864852905,110.629699707031
1966-09-01,1966,9,12.5773754119873,19.0913410186768
1966-10-01,1966,10,12.5019788742065,28.6908569335938
1966-11-01,1966,11,2.66108918190002,83.9742584228516
1966-12-01,1966,12,-0.37556391954422,98.5113220214844
1967-01-01,1967,1,-2.96821403503418,38.2327270507812
1967-02-01,1967,2,-0.304867118597031,31.6351165771484
1967-03-01,1967,3,4.63018417358398,32.7516326904297
1967-04-01,1967,4,7.39550542831421,52.63427734375
1967-05-01,1967,5,13.2969217300415,69.9116668701172
1967-06-01,1967,6,15.5419054031372,60.9046287536621
1967-07-01,1967,7,19.1474742889404,65.5427474975586
1967-08-01,1967,8,16.6494178771973,25.8928813934326
1967-09-01,1967,9,14.6677885055542,79.7747116088867
1967-10-01,1967,10,10.6133327484131,21.2058200836182
1967-11-01,1967,11,3.1943097114563,41.4310417175293
1967-12-01,1967,12,-1.7953953742981,59.8915367126465
1968-01-01,1968,1,-4.35923719406128,54.6267318725586
1968-02-01,1968,2,0.40248841047287,8.19453811645508
1968-03-01,1968,3,3.5193555355072,33.0908393859863
1968-04-01,1968,4,9.68592643737793,44.418643951416
1968-05-01,1968,5,12.2512350082397,41.7607955932617
1968-06-01,1968,6,16.5981025695801,146.531005859375
1968-07-01,1968,7,16.2094802856445,64.8212280273438
1968-08-01,1968,8,15.7423315048218,99.7834396362305
1968-09-01,1968,9,12.8660259246826,52.5996017456055
1968-10-01,1968,10,8.13445568084717,17.8984127044678
1968-11-01,1968,11,4.79102087020874,50.2775039672852
1968-12-01,1968,12,-3.886723279953,33.0764846801758
1969-01-01,1969,1,-3.48402333259583,37.4510383605957
1969-02-01,1969,2,-2.41479992866516,62.0623168945312
1969-03-01,1969,3,-0.00630792183801532,53.3526649475098
1969-04-01,1969,4,7.55261707305908,13.1257734298706
1969-05-01,1969,5,14.9512481689453,57.3522453308105
1969-06-01,1969,6,14.9088716506958,147.256500244141
1969-07-01,1969,7,17.6462726593018,21.5484561920166
1969-08-01,1969,8,15.3231039047241,87.1045761108398
1969-09-01,1969,9,13.3468065261841,9.5598669052124
1969-10-01,1969,10,8.91546821594238,10.9828596115112
1969-11-01,1969,11,4.58000135421753,62.7851448059082
1969-12-01,1969,12,-5.39572906494141,46.3500747680664
1970-01-01,1970,1,-3.3450083732605,22.0131187438965
1970-02-01,1970,2,-3.21324372291565,64.1747207641602
1970-03-01,1970,3,0.882677316665649,50.5121421813965
1970-04-01,1970,4,6.42782735824585,80.3910675048828
1970-05-01,1970,5,11.0063123703003,31.410177230835
1970-06-01,1970,6,16.3648262023926,107.746276855469
1970-07-01,1970,7,16.6305141448975,133.072189331055
1970-08-01,1970,8,16.3359375,58.2678985595703
1970-09-01,1970,9,11.9797382354736,15.6248140335083
1970-10-01,1970,10,7.40132474899292,47.1120758056641
1970-11-01,1970,11,5.56463289260864,74.4823837280273
1970-12-01,1970,12,-1.0100554227829,44.9962921142578
1971-01-01,1971,1,-2.61888766288757,23.2471103668213
1971-02-01,1971,2,-0.269191861152649,33.6373481750488
1971-03-01,1971,3,-0.199560105800629,31.228422164917
1971-04-01,1971,4,8.51469898223877,49.8716201782227
1971-05-01,1971,5,14.5155630111694,44.0399627685547
1971-06-01,1971,6,14.2882289886475,139.481735229492
1971-07-01,1971,7,17.3579521179199,19.8224563598633
1971-08-01,1971,8,18.4334182739258,44.6975059509277
1971-09-01,1971,9,10.6788196563721,35.1647071838379
1971-10-01,1971,10,7.15046501159668,19.882381439209
1971-11-01,1971,11,2.45956921577454,57.9409599304199
1971-12-01,1971,12,1.62316489219666,40.8871917724609
1972-01-01,1972,1,-3.44666719436646,35.5254402160645
1972-02-01,1972,2,2.05924391746521,31.8127574920654
1972-03-01,1972,3,5.16416835784912,14.5714626312256
1972-04-01,1972,4,7.29866218566895,99.1830368041992
1972-05-01,1972,5,11.8791980743408,134.984085083008
1972-06-01,1972,6,16.0081768035889,44.5243949890137
1972-07-01,1972,7,17.7176303863525,123.221130371094
1972-08-01,1972,8,15.7000007629395,96.8504180908203
1972-09-01,1972,9,10.2335538864136,36.6132888793945
1972-10-01,1972,10,5.59766149520874,18.12575340271
1972-11-01,1972,11,3.03624320030212,35.1298675537109
1972-12-01,1972,12,-0.672056615352631,1.54470634460449
1973-01-01,1973,1,-1.45696151256561,32.8686866760254
1973-02-01,1973,2,-0.22399415075779,61.4890365600586
1973-03-01,1973,3,3.12999296188354,14.31858253479
1973-04-01,1973,4,5.71507406234741,86.04150390625
1973-05-01,1973,5,12.7194766998291,26.2229747772217
1973-06-01,1973,6,15.1222658157349,42.2028312683105
1973-07-01,1973,7,16.6746349334717,44.1442413330078
1973-08-01,1973,8,17.2550888061523,32.9457092285156
1973-09-01,1973,9,13.4044713973999,66.8298416137695
1973-10-01,1973,10,6.20135068893433,21.4763164520264
1973-11-01,1973,11,1.12591564655304,33.9248504638672
1973-12-01,1973,12,-1.06221401691437,19.6986103057861
1974-01-01,1974,1,0.313822209835052,27.3848266601562
1974-02-01,1974,2,3.14872145652771,28.5262184143066
1974-03-01,1974,3,6.14074039459229,4.12693977355957
1974-04-01,1974,4,7.09577465057373,31.6284103393555
1974-05-01,1974,5,11.0768013000488,123.884628295898
1974-06-01,1974,6,13.3886747360229,85.8864822387695
1974-07-01,1974,7,15.62815284729,64.5615463256836
1974-08-01,1974,8,18.3711967468262,48.241527557373
1974-09-01,1974,9,12.8794450759888,43.7605056762695
1974-10-01,1974,10,4.50617694854736,164.679443359375
1974-11-01,1974,11,3.53680539131165,41.9356460571289
1974-12-01,1974,12,1.72319030761719,74.7636947631836
1975-01-01,1975,1,2.08064651489258,26.5860252380371
1975-02-01,1975,2,-1.16013169288635,2.63056612014771
1975-03-01,1975,3,4.13410806655884,55.5812110900879
1975-04-01,1975,4,6.71178913116455,37.4654960632324
1975-05-01,1975,5,13.6035537719727,47.4964179992676
1975-06-01,1975,6,14.6371431350708,172.468780517578
1975-07-01,1975,7,17.3412055969238,80.6645660400391
1975-08-01,1975,8,16.7305946350098,63.4968109130859
1975-09-01,1975,9,15.902811050415,26.9932518005371
1975-10-01,1975,10,7.48658514022827,63.445255279541
1975-11-01,1975,11,1.78132700920105,41.7189788818359
1975-12-01,1975,12,-1.02148568630219,43.8153686523438
1976-01-01,1976,1,-1.64725530147552,75.4147567749023
1976-02-01,1976,2,-1.22326552867889,3.3004412651062
1976-03-01,1976,3,-0.142016336321831,14.4901247024536
1976-04-01,1976,4,7.71526288986206,27.4890232086182
1976-05-01,1976,5,12.6995277404785,98.2158660888672
1976-06-01,1976,6,15.8310136795044,35.5615310668945
1976-07-01,1976,7,18.0436744689941,52.424633026123
1976-08-01,1976,8,14.1960411071777,21.5135822296143
1976-09-01,1976,9,11.9127655029297,119.598808288574
1976-10-01,1976,10,9.76289176940918,76.774787902832
1976-11-01,1976,11,4.73179864883423,51.5781478881836
1976-12-01,1976,12,-1.56262993812561,84.2658386230469
1977-01-01,1977,1,-1.0648877620697,89.6025848388672
1977-02-01,1977,2,1.21821045875549,84.1931762695312
1977-03-01,1977,3,6.38991546630859,54.4643478393555
1977-04-01,1977,4,6.09913492202759,72.6631393432617
1977-05-01,1977,5,12.2192335128784,88.5958480834961
1977-06-01,1977,6,16.5705814361572,17.3118553161621
1977-07-01,1977,7,16.4907112121582,69.915283203125
1977-08-01,1977,8,15.5032920837402,138.424179077148
1977-09-01,1977,9,10.6250562667847,41.4665145874023
1977-10-01,1977,10,9.42959213256836,17.7306518554688
1977-11-01,1977,11,3.82300162315369,61.556884765625
1977-12-01,1977,12,-1.99376368522644,21.5928707122803
1978-01-01,1978,1,-1.00106263160706,36.3563194274902
1978-02-01,1978,2,-2.3945939540863,35.901538848877
1978-03-01,1978,3,4.06464576721191,42.5444755554199
1978-04-01,1978,4,6.17910861968994,83.7654571533203
1978-05-01,1978,5,10.7431211471558,62.2882270812988
1978-06-01,1978,6,14.6071014404297,39.2481727600098
1978-07-01,1978,7,14.9625549316406,51.4924507141113
1978-08-01,1978,8,14.7620058059692,49.1176338195801
1978-09-01,1978,9,11.5198411941528,42.9606132507324
1978-10-01,1978,10,8.41191387176514,73.7120056152344
1978-11-01,1978,11,0.78056538105011,48.4803733825684
1978-12-01,1978,12,-0.900289714336395,28.9531726837158
1979-01-01,1979,1,-5.37674379348755,55.5720748901367
1979-02-01,1979,2,-1.16536676883698,40.126579284668
1979-03-01,1979,3,4.00732851028442,57.631031036377
1979-04-01,1979,4,6.28517007827759,73.3126373291016
1979-05-01,1979,5,13.1065530776978,49.2594337463379
1979-06-01,1979,6,17.4034061431885,120.694915771484
1979-07-01,1979,7,14.9516868591309,61.629093170166
1979-08-01,1979,8,15.5109786987305,84.0968399047852
1979-09-01,1979,9,13.1592798233032,43.5532684326172
1979-10-01,1979,10,7.28220224380493,15.3467416763306
1979-11-01,1979,11,2.95307564735413,123.080215454102
1979-12-01,1979,12,2.56017470359802,57.5680961608887
1980-01-01,1980,1,-4.51393413543701,27.9004878997803
