"Date","Year","Month","Temp","Prec"
NA,1950,1,-7.1345159695634,94.3000014051795
NA,1951,1,-1.78774189552472,113.400001689792
NA,1952,1,-3.47032250307741,97.300001449883
NA,1953,1,-4.30999990366399,104.700001560152
NA,1954,1,-11.2193545879376,61.8000009208918
NA,1955,1,-5.69999987259507,52.3000007793307
NA,1956,1,-4.6506450573403,42.5000006332994
NA,1957,1,-4.66967731497942,47.6000007092953
NA,1958,1,-5.93096760936802,63.700000949204
NA,1959,1,-4.81419344078149,68.8000010251999
NA,1960,1,-5.40935471780117,57.4000008553267
NA,1961,1,-5.74290309744256,33.1000004932284
NA,1962,1,-3.76741927063033,61.3000009134412
NA,1963,1,-11.4196771641052,48.4000007212162
NA,1964,1,-8.778064319924,20.3000003024936
NA,1965,1,-3.6983870141088,74.3000011071563
NA,1966,1,-7.9648385316494,54.8000008165836
NA,1967,1,-6.42225792096747,92.0000013709068
NA,1968,1,-7.45129015603133,119.700001783669
NA,1969,1,-6.30193534301173,34.4000005125999
NA,1970,1,-5.02967730693279,46.0000006854534
NA,1971,1,-4.37870957954757,19.6000002920628
NA,1972,1,-5.72870954937272,29.8000004440546
NA,1973,1,-3.48645153497496,41.4000006169081
NA,1974,1,-2.19548382189485,116.600001737475
NA,1975,1,-0.784838692134907,53.3000007942319
NA,1976,1,-5.4625805230631,221.100003294647
NA,1977,1,-2.96870961106352,70.4000010490417
NA,1978,1,-4.13838700427403,34.0000005066395
NA,1979,1,-6.95419339294876,114.800001710653
NA,1980,1,-7.28096757919317,37.6000005602837
NA,1981,1,-7.32580628786837,98.3000014647841
NA,1982,1,-7.275483708348,87.1000012978911
NA,1983,1,-1.1038709430685,139.000002071261
NA,1984,1,-3.83161281758258,79.6000011861324
NA,1985,1,-10.0648384847107,43.5000006482005
NA,1986,1,-5.32129020364054,136.300002031028
NA,1987,1,-10.5603223446036,109.200001627207
NA,1988,1,-0.814838691464355,49.8000007420778
NA,1989,1,-3.70290314304011,37.7000005617738
NA,1990,1,-2.55838703958979,38.2000005692244
NA,1991,1,-3.49032250263037,19.2000002861023
NA,1992,1,-3.53774185640918,66.4000009894371
NA,1993,1,-3.77387088338935,75.9000011309981
NA,1994,1,-0.856129013122089,113.700001694262
NA,1995,1,-4.60870957440667,109.700001634657
NA,1996,1,-5.36516117040188,25.2000003755093
NA,1997,1,-4.43677409437876,21.8000003248453
NA,1998,1,-1.74290318684953,73.8000010997057
NA,1999,1,-2.52806445962239,43.7000006511807
NA,2000,1,-5.82516116012008,112.400001674891
NA,2001,1,-3.27451605584112,61.7000009194016
NA,2002,1,-4.41096764334267,71.500001065433
NA,2003,1,-5.19322569037397,91.8000013679266
NA,2004,1,-6.71806436596859,101.300001509488
NA,2005,1,-4.32032248407843,175.500002615154
NA,2006,1,-8.33161271699975,50.5000007525086
NA,2007,1,0.101935481592532,197.300002939999
NA,2008,1,-0.895806431590069,94.5000014081597
NA,2009,1,-5.00419343653465,49.5000007376075
NA,2010,1,-5.91258051300481,53.8000008016825
NA,2011,1,-3.5145160504767,52.2000007778406
NA,2012,1,-4.0509676513893,196.200002923608
NA,2013,1,-4.25999990478158,147.100002191961
NA,2014,1,-0.225483865927785,39.7000005915761
NA,2015,1,-1.84903221673542,115.800001725554
NA,2016,1,-4.27612893667913,75.0000011175871
NA,2017,1,-8.45935464962836,44.6000006645918
NA,2018,1,-0.74258062856332,52.500000782311
NA,2019,1,-5.66580632497226,162.900002427399
NA,2020,1,-2.17903220935935,41.300000615418
NA,2021,1,-3.43999992311001,91.8000013679266
NA,2022,1,-2.20516124103338,61.1000009104609
NA,2023,1,0.645161275902102,113.500001691282
NA,2024,1,-1.49419351498927,91.2000013589859
NA,1950,2,-1.36321425524407,52.4000007808208
NA,1951,2,-0.69749998440966,41.8000006228685
NA,1952,2,-4.05448266799594,214.300003193319
NA,1953,2,-3.79428562947682,51.6000007688999
NA,1954,2,-10.1317854878227,4.00000005960464
NA,1955,2,-5.28678559611684,78.6000011712313
NA,1956,2,-13.1003445347707,52.1000007763505
NA,1957,2,-0.859999980777502,88.2000013142824
NA,1958,2,-2.22999995015562,111.500001661479
NA,1959,2,-5.32071416678705,18.7000002786517
NA,1960,2,-5.72931021676752,36.8000005483627
NA,1961,2,-2.4135713746239,68.7000010237098
NA,1962,2,-5.37392845131191,107.600001603365
NA,1963,2,-9.44392836034032,37.5000005587935
NA,1964,2,-5.47965504993396,94.70000141114
NA,1965,2,-9.25999979302287,74.2000011056662
NA,1966,2,1.86571424401232,117.100001744926
NA,1967,2,-3.567142777411,84.1000012531877
NA,1968,2,-2.24724132908059,22.0000003278255
NA,1969,2,-3.7085713456784,63.2000009417534
NA,1970,2,-6.36178557208872,94.3000014051795
NA,1971,2,-2.74285708154951,66.9000009968877
NA,1972,2,0.0844827567323529,12.4000001847744
NA,1973,2,-2.37857137540621,112.20000167191
NA,1974,2,0.0496428560332528,55.9000008329749
NA,1975,2,-4.59107132595299,19.4000002890825
NA,1976,2,-4.24172404312111,2.80000004172325
