"Date","Year","Month","Temp","Prec"
NA,1950,1,-5.57225793996646,61.8000009208918
NA,1951,1,-0.232903220600659,47.0000007003546
NA,1952,1,-2.50838704070737,73.5000010952353
NA,1953,1,-1.98419350403691,48.4000007212162
NA,1954,1,-8.9922578635235,40.9000006094575
NA,1955,1,-4.36096764446026,60.7000009045005
NA,1956,1,-3.17193541297268,18.100000269711
NA,1957,1,-4.59387086506092,20.1000002995133
NA,1958,1,-4.18129022912152,46.7000006958842
NA,1959,1,-3.49290314773398,43.0000006407499
NA,1960,1,-4.07741926370128,26.5000003948808
NA,1961,1,-3.64741927331253,30.100000448525
NA,1962,1,-2.13483866196006,29.6000004410744
NA,1963,1,-8.35483852293222,42.9000006392598
NA,1964,1,-8.22161271945844,0
NA,1965,1,-2.47322575117071,42.0000006258488
NA,1966,1,-6.35129018061824,21.6000003218651
NA,1967,1,-4.50096764133102,40.1000005975366
NA,1968,1,-6.53645146680215,64.7000009641051
NA,1969,1,-5.39419342781748,23.9000003561378
NA,1970,1,-3.08225799562229,40.3000006005168
NA,1971,1,-3.44225798757567,23.9000003561378
NA,1972,1,-3.40032250464203,38.2000005692244
NA,1973,1,-2.7006451009262,36.9000005498528
NA,1974,1,-0.710967726044117,54.8000008165836
NA,1975,1,0.49419353734101,18.5000002756715
NA,1976,1,-2.59741929678186,97.6000014543533
NA,1977,1,-2.03290318036752,82.8000012338161
NA,1978,1,-2.38516123701007,21.1000003144145
NA,1979,1,-5.37193536379885,89.5000013336539
NA,1980,1,-5.8467740628628,22.8000003397465
NA,1981,1,-5.7854837416521,50.7000007554889
NA,1982,1,-6.77999984845519,52.1000007763505
NA,1983,1,1.06870965353183,48.5000007227063
NA,1984,1,-2.29258059391812,58.1000008657575
NA,1985,1,-8.48290303619879,17.5000002607703
NA,1986,1,-3.40677411740105,70.4000010490417
NA,1987,1,-7.41580628585671,68.3000010177493
NA,1988,1,0.489032247133793,35.6000005304813
NA,1989,1,-2.3019354324187,9.80000014603138
NA,1990,1,-1.69322576860507,14.7000002190471
NA,1991,1,-2.45999994501472,1.60000002384186
NA,1992,1,-1.47483867671221,16.8000002503395
NA,1993,1,-2.41677413952927,37.6000005602837
NA,1994,1,0.737096757718152,57.3000008538365
NA,1995,1,-3.07999993115664,38.8000005781651
NA,1996,1,-3.54516121108205,45.4000006765127
NA,1997,1,-3.06935477010425,19.1000002846122
NA,1998,1,0.478064505443458,26.0000003874302
NA,1999,1,-1.66419351118947,15.0000002235174
NA,2000,1,-4.59193538123321,43.7000006511807
NA,2001,1,-1.3964515816901,57.700000859797
NA,2002,1,-3.09290315667468,22.8000003397465
NA,2003,1,-3.99774184612738,48.7000007256866
NA,2004,1,-5.88096761048561,54.4000008106232
NA,2005,1,-2.61709671569688,56.4000008404255
NA,2006,1,-6.02483857501178,42.6000006347895
NA,2007,1,1.76838705724766,79.5000011846423
NA,2008,1,-0.257419349084939,43.4000006467104
NA,2009,1,-4.30451603281883,42.9000006392598
NA,2010,1,-4.08903216666752,53.3000007942319
NA,2011,1,-2.80516122762234,23.5000003501773
NA,2012,1,-1.82999995909631,67.0000009983778
NA,2013,1,-2.88806445157576,106.200001582503
NA,2014,1,1.47258061224655,42.4000006318092
NA,2015,1,-0.174193544493568,72.8000010848045
NA,2016,1,-2.81516122739882,49.8000007420778
NA,2017,1,-8.72129012764462,27.4000004082918
NA,2018,1,0.612258050831095,33.9000005051494
NA,2019,1,-3.5303225017363,51.9000007733703
NA,2020,1,-1.49516125690312,15.9000002369285
NA,2021,1,-1.04419352504755,47.9000007137656
NA,2022,1,-0.695483855422466,15.8000002354383
NA,2023,1,1.83774189440714,115.300001718104
NA,2024,1,0.192580640856777,56.5000008419156
NA,1950,2,-0.0689285698878978,47.9000007137656
NA,1951,2,1.05892854775967,40.500000603497
NA,1952,2,-2.25586201854307,97.9000014588237
NA,1953,2,-1.19249997334555,20.0000002980232
NA,1954,2,-7.587142687557,10.6000001579523
NA,1955,2,-2.67499994020909,57.4000008553267
NA,1956,2,-10.3258618381645,48.6000007241964
NA,1957,2,0.935714264799442,75.2000011205673
NA,1958,2,-0.499642845974969,92.1000013723969
