"Date","Year","Month","Temp","Prec"
NA,1950,1,-11.6899997387081,91.7000013664365
NA,1951,1,-7.51903209000105,94.3000014051795
NA,1952,1,-9.93064493932311,172.10000256449
NA,1953,1,-10.0122578407247,140.800002098083
NA,1954,1,-15.0277415995877,79.3000011816621
NA,1955,1,-7.74580627848064,76.8000011444092
NA,1956,1,-10.8299997579306,55.100000821054
NA,1957,1,-7.91516111340494,72.6000010818243
NA,1958,1,-9.75645139482954,73.200001090765
NA,1959,1,-10.5696771831041,103.800001546741
NA,1960,1,-9.78258042650357,69.3000010326505
NA,1961,1,-9.80806429690171,51.5000007674098
NA,1962,1,-8.22354820328614,106.800001591444
NA,1963,1,-15.3822577206959,58.1000008657575
NA,1964,1,-8.75741915909513,38.7000005766749
NA,1965,1,-7.9648385316494,82.700001232326
NA,1966,1,-11.4899997431785,100.900001503527
NA,1967,1,-11.2712900706477,111.200001657009
NA,1968,1,-13.0209674508942,121.100001804531
NA,1969,1,-7.94258046763078,68.1000010147691
NA,1970,1,-9.09258044192628,69.7000010386109
NA,1971,1,-5.62967729352174,33.2000004947186
NA,1972,1,-8.81290302882271,51.5000007674098
NA,1973,1,-7.32064499766115,54.7000008150935
NA,1974,1,-7.42096757606393,199.200002968311
NA,1975,1,-6.4616127587975,69.9000010415912
NA,1976,1,-11.8370965096138,321.400004789233
NA,1977,1,-7.87806434004057,97.300001449883
NA,1978,1,-9.18645140757003,57.6000008583069
NA,1979,1,-10.8645158861914,166.400002479553
NA,1980,1,-10.7641933077886,42.7000006362796
NA,1981,1,-12.2593545646917,112.700001679361
NA,1982,1,-8.26774175068544,128.100001908839
NA,1983,1,-7.60806434607554,157.800002351403
NA,1984,1,-9.54838688335111,87.3000013008714
NA,1985,1,-12.6183868147313,52.4000007808208
NA,1986,1,-10.8399997577071,172.60000257194
NA,1987,1,-12.593870686247,177.900002650917
NA,1988,1,-5.59999987483025,100.200001493096
NA,1989,1,-5.61419342290009,50.0000007450581
NA,1990,1,-5.8764514815543,48.5000007227063
NA,1991,1,-6.27935469835516,38.8000005781651
NA,1992,1,-5.37516117017836,79.3000011816621
NA,1993,1,-5.6635482605066,80.7000012025237
NA,1994,1,-5.54419342446471,142.900002129376
NA,1995,1,-8.6080643237238,117.700001753867
NA,1996,1,-6.63806436775673,29.7000004425645
NA,1997,1,-4.03258055502609,19.800000295043
NA,1998,1,-5.28516117219002,100.000001490116
NA,1999,1,-4.24935474372919,38.4000005722046
NA,2000,1,-10.1725804177864,104.500001557171
NA,2001,1,-6.00548373673472,109.700001634657
NA,2002,1,-5.07483859624594,45.7000006809831
NA,2003,1,-7.93612885487176,83.4000012427568
NA,2004,1,-11.2587094257676,85.6000012755394
NA,2005,1,-7.83677401838283,148.800002217293
NA,2006,1,-7.86258046941892,41.4000006169081
NA,2007,1,-3.55096766256517,195.300002910197
NA,2008,1,-3.84935475266989,102.000001519918
NA,2009,1,-7.23225790286256,97.9000014588237
NA,2010,1,-9.26096753493672,74.900001116097
NA,2011,1,-6.72322565617581,52.2000007778406
NA,2012,1,-8.48516110066445,157.800002351403
NA,2013,1,-7.25096757986373,163.40000243485
NA,2014,1,-2.90903219304258,77.7000011578202
NA,2015,1,-5.77161277422021,162.000002413988
NA,2016,1,-8.09516110938163,90.6000013500452
NA,2017,1,-9.57419333438719,42.3000006303191
NA,2018,1,-5.13999988511205,34.7000005170703
NA,2019,1,-9.90193526254546,162.700002424419
NA,2020,1,-2.69870961709849,42.6000006347895
NA,2021,1,-9.08903205490881,134.700002007186
NA,2022,1,-7.59032241098823,118.500001765788
NA,2023,1,-4.43161280417154,152.400002270937
NA,2024,1,-5.67774180857645,107.700001604855
NA,1950,2,-6.01607129410175,69.3000010326505
NA,1951,2,-7.50178554660774,44.5000006631017
NA,1952,2,-11.2268963007834,250.500003732741
NA,1953,2,-11.2828568906656,111.200001657009
NA,1954,2,-11.6174997403286,12.1000001803041
NA,1955,2,-11.0307140391586,96.6000014394522
NA,1956,2,-16.1313789497804,59.2000008821487
NA,1957,2,-7.24107126672087,111.70000166446
NA,1958,2,-8.10428553314081,117.800001755357
NA,1959,2,-6.98285698677812,42.5000006332994
NA,1960,2,-10.027930810341,53.0000007897615
NA,1961,2,-6.13857129136367,77.7000011578202
NA,1962,2,-11.879285448763,186.300002776086
NA,1963,2,-11.6303568828984,47.6000007092953
NA,1964,2,-11.4596549162705,162.200002416968
NA,1965,2,-16.1746424956114,119.200001776218
NA,1966,2,-4.62214275382991,138.700002066791
NA,1967,2,-9.32928550575993,105.700001575053
NA,1968,2,-8.01586188979704,51.70000077039
NA,1969,2,-10.0139283475998,88.6000013202429
NA,1970,2,-12.5332140055751,96.1000014320016
NA,1971,2,-10.0496426325158,120.100001789629
NA,1972,2,-5.19413781493645,27.7000004127622
NA,1973,2,-9.614999785088,183.300002731383
NA,1974,2,-6.5060712831494,63.8000009506941
NA,1975,2,-9.27071407849767,63.2000009417534
NA,1976,2,-7.66827569066964,5.20000007748604
NA,1977,2,-7.30749983666465,132.800001978874
NA,1978,2,-9.92071406396904,44.3000006601214
NA,1979,2,-8.78892837498071,53.3000007942319
NA,1980,2,-7.6955170693711,51.4000007659197
NA,1981,2,-10.132499773521,79.8000011891127
NA,1982,2,-8.85107123073456,60.7000009045005
NA,1983,2,-12.1460711570856,147.900002203882
NA,1984,2,-10.6534480377389,71.500001065433
NA,1985,2,-15.772142504608,157.000002339482
NA,1986,2,-12.6303568605467,47.9000007137656
NA,1987,2,-6.93535698783983,64.1000009551644
NA,1988,2,-8.68965497818486,151.100002251565
NA,1989,2,-5.03357131606234,73.7000010982156
NA,1990,2,-4.51321418483609,99.6000014841557
NA,1991,2,-10.5082140508374,71.7000010684133
NA,1992,2,-6.96965501662986,127.600001901388
NA,1993,2,-7.87392839543255,87.4000013023615
NA,1994,2,-7.08535698448707,14.7000002190471
NA,1995,2,-4.37428561651281,70.9000010564923
NA,1996,2,-9.60689633699327,30.9000004604459
NA,1997,2,-6.43392842761906,56.1000008359551
NA,1998,2,-3.39928563830576,137.300002045929
NA,1999,2,-9.588214071401,146.20000217855
NA,2000,2,-6.92827570720993,107.800001606345
NA,2001,2,-7.67535697129954,95.9000014290214
NA,2002,2,-3.61107134785769,75.7000011280179
NA,2003,2,-10.4585711948041,43.7000006511807
NA,2004,2,-7.73586189605553,170.500002540648
NA,2005,2,-9.94285692061697,81.9000012204051
NA,2006,2,-9.30321407777124,69.2000010311604
NA,2007,2,-5.15571417047509,91.7000013664365
NA,2008,2,-4.78448265167917,51.3000007644296
NA,2009,2,-8.22464267330776,118.600001767278
NA,2010,2,-6.77178556292451,65.9000009819865
NA,2011,2,-7.30678555096633,25.2000003755093
NA,2012,2,-12.2665514499591,89.3000013306737
NA,2013,2,-7.68178554258442,108.100001610816
NA,2014,2,-1.9428570994309,80.0000011920929
NA,2015,2,-6.72785699247782,64.2000009566545
NA,2016,2,-4.17206887226423,203.000003024936
NA,2017,2,-3.75678563031501,61.2000009119511
