"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-2.19665837287903,21.5284996032715
1961-02-01,1961,2,3.20468783378601,40.7091293334961
1961-03-01,1961,3,7.52107810974121,18.9840297698975
1961-04-01,1961,4,12.9404602050781,55.2678337097168
1961-05-01,1961,5,13.2273206710815,61.5939025878906
1961-06-01,1961,6,18.8019847869873,68.6929626464844
1961-07-01,1961,7,18.0487213134766,99.7416534423828
1961-08-01,1961,8,18.9074993133545,26.5601196289062
1961-09-01,1961,9,16.940767288208,12.2079162597656
1961-10-01,1961,10,11.5289688110352,65.1387481689453
1961-11-01,1961,11,4.4371919631958,68.1221542358398
1961-12-01,1961,12,-1.31432092189789,36.3062057495117
1962-01-01,1962,1,0.045250691473484,12.3278923034668
1962-02-01,1962,2,-0.177549287676811,33.8272857666016
1962-03-01,1962,3,1.06019258499146,67.1914978027344
1962-04-01,1962,4,11.5192518234253,42.7880744934082
1962-05-01,1962,5,12.5708589553833,86.3226089477539
1962-06-01,1962,6,16.2802143096924,27.1970291137695
1962-07-01,1962,7,18.1024036407471,48.4753913879395
1962-08-01,1962,8,19.8376979827881,21.7118682861328
1962-09-01,1962,9,13.6902627944946,33.0966567993164
1962-10-01,1962,10,9.0033540725708,41.0910453796387
1962-11-01,1962,11,4.69404315948486,118.906806945801
1962-12-01,1962,12,-3.29081130027771,28.2350387573242
1963-01-01,1963,1,-6.92829513549805,27.5688362121582
1963-02-01,1963,2,-5.5124306678772,20.6670150756836
1963-03-01,1963,3,1.87765955924988,40.1838264465332
1963-04-01,1963,4,11.4198226928711,9.09300899505615
1963-05-01,1963,5,15.228235244751,87.6309356689453
1963-06-01,1963,6,18.6841354370117,82.8351364135742
1963-07-01,1963,7,20.7847118377686,15.2696495056152
1963-08-01,1963,8,19.5632228851318,89.7895812988281
1963-09-01,1963,9,16.1538715362549,55.4534645080566
1963-10-01,1963,10,9.0638952255249,29.8674354553223
1963-11-01,1963,11,7.93314790725708,44.4912223815918
1963-12-01,1963,12,-4.64899635314941,10.5288276672363
1964-01-01,1964,1,-6.21633291244507,2.50543761253357
1964-02-01,1964,2,0.0444867424666882,18.4708766937256
1964-03-01,1964,3,1.20203804969788,51.1770782470703
1964-04-01,1964,4,11.2166681289673,39.9225196838379
1964-05-01,1964,5,14.9269323348999,76.351692199707
1964-06-01,1964,6,20.2411499023438,49.4093437194824
1964-07-01,1964,7,20.0150451660156,63.270881652832
1964-08-01,1964,8,17.5212574005127,59.5566902160645
1964-09-01,1964,9,14.9493446350098,15.4209423065186
1964-10-01,1964,10,8.91928672790527,134.08430480957
1964-11-01,1964,11,5.49987649917603,15.9569473266602
1964-12-01,1964,12,-0.423644632101059,37.4812812805176
1965-01-01,1965,1,0.00601814361289144,37.8553009033203
1965-02-01,1965,2,-2.61850571632385,7.67982721328735
1965-03-01,1965,3,3.57799339294434,37.5982475280762
1965-04-01,1965,4,8.67485904693604,74.0697708129883
1965-05-01,1965,5,12.853063583374,102.012504577637
1965-06-01,1965,6,17.7105331420898,81.4467849731445
1965-07-01,1965,7,18.3091087341309,125.103561401367
1965-08-01,1965,8,16.8083515167236,50.935977935791
1965-09-01,1965,9,15.4216918945312,39.1232719421387
1965-10-01,1965,10,7.24010801315308,11.0160245895386
1965-11-01,1965,11,1.69803786277771,29.8032894134521
1965-12-01,1965,12,1.60494387149811,55.1206893920898
1966-01-01,1966,1,-4.07413625717163,18.2862224578857
1966-02-01,1966,2,5.61972904205322,46.5603675842285
1966-03-01,1966,3,4.77161884307861,15.7512359619141
1966-04-01,1966,4,11.9117918014526,34.0552673339844
1966-05-01,1966,5,14.8414535522461,38.8114318847656
1966-06-01,1966,6,18.4009819030762,109.961166381836
1966-07-01,1966,7,18.4006385803223,136.995468139648
1966-08-01,1966,8,17.7885303497314,84.8216171264648
1966-09-01,1966,9,14.3923606872559,9.46281814575195
1966-10-01,1966,10,13.7898893356323,21.4499568939209
1966-11-01,1966,11,4.26155948638916,47.706729888916
1966-12-01,1966,12,1.5746031999588,76.921760559082
1967-01-01,1967,1,-1.18015217781067,27.5578804016113
1967-02-01,1967,2,1.62970888614655,22.4519462585449
1967-03-01,1967,3,6.56512355804443,30.729175567627
1967-04-01,1967,4,9.53880405426025,29.2507972717285
1967-05-01,1967,5,15.2926464080811,58.5544776916504
1967-06-01,1967,6,17.516544342041,54.1661491394043
1967-07-01,1967,7,21.3635578155518,72.2821044921875
1967-08-01,1967,8,18.7572898864746,17.0305843353271
1967-09-01,1967,9,16.0287418365479,94.1030044555664
1967-10-01,1967,10,11.7915563583374,12.3111133575439
1967-11-01,1967,11,4.23635053634644,31.9512214660645
1967-12-01,1967,12,-0.0836640745401382,38.9749145507812
1968-01-01,1968,1,-2.90523672103882,44.7465400695801
1968-02-01,1968,2,2.13393020629883,5.12397050857544
1968-03-01,1968,3,5.56230783462524,24.62109375
1968-04-01,1968,4,11.5230503082275,41.6764831542969
1968-05-01,1968,5,14.8182954788208,48.3797721862793
1968-06-01,1968,6,19.0604763031006,111.076202392578
1968-07-01,1968,7,18.8996124267578,68.3139724731445
1968-08-01,1968,8,17.6794261932373,115.351409912109
1968-09-01,1968,9,14.8137445449829,23.8527641296387
1968-10-01,1968,10,9.63027667999268,25.6318359375
1968-11-01,1968,11,6.35258817672729,41.2174797058105
1968-12-01,1968,12,-2.49506282806396,24.0001811981201
1969-01-01,1969,1,-2.17099952697754,39.3378067016602
1969-02-01,1969,2,-0.973739087581635,49.1406173706055
1969-03-01,1969,3,2.10661673545837,44.7682991027832
1969-04-01,1969,4,10.1912794113159,10.1281566619873
1969-05-01,1969,5,17.4513874053955,74.3944854736328
1969-06-01,1969,6,17.1026725769043,109.204772949219
1969-07-01,1969,7,20.2911758422852,43.7050933837891
1969-08-01,1969,8,17.6595554351807,71.8955993652344
1969-09-01,1969,9,15.418906211853,16.5458374023438
1969-10-01,1969,10,10.4433355331421,6.11624813079834
1969-11-01,1969,11,5.94605493545532,50.5202789306641
1969-12-01,1969,12,-4.00291442871094,39.4988594055176
1970-01-01,1970,1,-2.19897317886353,17.3735008239746
1970-02-01,1970,2,-1.25456261634827,83.4577102661133
1970-03-01,1970,3,3.10365796089172,39.3426513671875
1970-04-01,1970,4,9.08966445922852,47.1091957092285
1970-05-01,1970,5,13.6157445907593,12.5515937805176
1970-06-01,1970,6,18.5025177001953,51.7299270629883
1970-07-01,1970,7,19.2213325500488,98.9129867553711
1970-08-01,1970,8,18.6407699584961,48.0578460693359
1970-09-01,1970,9,13.9122409820557,14.1943655014038
1970-10-01,1970,10,8.80162620544434,47.8490104675293
1970-11-01,1970,11,6.86211347579956,65.7733688354492
1970-12-01,1970,12,0.801459193229675,26.3012390136719
1971-01-01,1971,1,-2.84190535545349,22.1644229888916
1971-02-01,1971,2,2.11531829833984,23.0039749145508
1971-03-01,1971,3,2.37663292884827,42.372974395752
1971-04-01,1971,4,10.6948041915894,38.4368705749512
1971-05-01,1971,5,16.6031742095947,37.1077690124512
1971-06-01,1971,6,16.6413116455078,80.5364608764648
1971-07-01,1971,7,19.3435802459717,32.869441986084
1971-08-01,1971,8,20.6518497467041,39.5118179321289
1971-09-01,1971,9,12.675910949707,38.9523963928223
1971-10-01,1971,10,8.14660930633545,12.8199481964111
1971-11-01,1971,11,3.89451122283936,53.2080841064453
1971-12-01,1971,12,3.02720093727112,19.628719329834
1972-01-01,1972,1,-2.14298009872437,43.803337097168
1972-02-01,1972,2,3.12561941146851,14.1383333206177
1972-03-01,1972,3,6.78587198257446,5.99549150466919
1972-04-01,1972,4,9.25855731964111,87.4557266235352
1972-05-01,1972,5,14.0332326889038,68.1267623901367
1972-06-01,1972,6,18.4034366607666,42.8850326538086
1972-07-01,1972,7,20.0906562805176,111.497787475586
1972-08-01,1972,8,17.6435718536377,37.719596862793
1972-09-01,1972,9,12.35768699646,10.7671394348145
1972-10-01,1972,10,7.64608478546143,21.7132301330566
1972-11-01,1972,11,4.42800712585449,26.5337009429932
1972-12-01,1972,12,0.626562118530273,3.26192498207092
1973-01-01,1973,1,-0.329061359167099,29.4610118865967
1973-02-01,1973,2,1.7212461233139,37.3554954528809
1973-03-01,1973,3,5.52346420288086,11.7152147293091
1973-04-01,1973,4,8.37478160858154,91.7406768798828
1973-05-01,1973,5,15.5599098205566,11.6543626785278
1973-06-01,1973,6,17.8701591491699,49.8443260192871
1973-07-01,1973,7,19.7436008453369,51.6749229431152
1973-08-01,1973,8,19.9382038116455,62.6711006164551
1973-09-01,1973,9,15.7379026412964,62.005428314209
1973-10-01,1973,10,7.721510887146,21.4035873413086
1973-11-01,1973,11,2.35327005386353,18.5455570220947
1973-12-01,1973,12,0.522657573223114,10.4181156158447
1974-01-01,1974,1,1.78092062473297,37.35205078125
1974-02-01,1974,2,4.5145583152771,20.9625873565674
1974-03-01,1974,3,8.22320938110352,5.9383282661438
1974-04-01,1974,4,9.84931755065918,18.8968982696533
1974-05-01,1974,5,13.8868370056152,63.0440635681152
1974-06-01,1974,6,15.9152431488037,87.7355346679688
1974-07-01,1974,7,18.1271343231201,65.3673706054688
1974-08-01,1974,8,20.940128326416,20.6464996337891
1974-09-01,1974,9,14.7086982727051,18.5718879699707
1974-10-01,1974,10,6.24736452102661,97.1921234130859
1974-11-01,1974,11,4.47937059402466,42.7497749328613
1974-12-01,1974,12,3.35387134552002,67.0751113891602
1975-01-01,1975,1,2.7099289894104,24.6915493011475
1975-02-01,1975,2,-0.00441298494115472,1.40660083293915
1975-03-01,1975,3,5.79046058654785,34.894401550293
1975-04-01,1975,4,9.15483856201172,29.7094573974609
1975-05-01,1975,5,15.8741416931152,61.2160606384277
1975-06-01,1975,6,17.3603744506836,115.531478881836
1975-07-01,1975,7,20.1122150421143,70.3205871582031
1975-08-01,1975,8,19.3170566558838,72.7132339477539
1975-09-01,1975,9,17.7086277008057,9.34205055236816
1975-10-01,1975,10,9.02512645721436,53.6224365234375
1975-11-01,1975,11,3.2296187877655,21.374532699585
1975-12-01,1975,12,0.593583047389984,26.611307144165
1976-01-01,1976,1,0.907977342605591,57.544849395752
1976-02-01,1976,2,-0.00862426869571209,8.04308319091797
1976-03-01,1976,3,2.28744602203369,6.61914300918579
1976-04-01,1976,4,10.2313632965088,17.6595153808594
