"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-4.0851526260376,41.3476219177246
1961-02-01,1961,2,0.596677541732788,59.440372467041
1961-03-01,1961,3,2.48542237281799,93.0589447021484
1961-04-01,1961,4,7.74280834197998,92.0127868652344
1961-05-01,1961,5,6.86681365966797,115.858848571777
1961-06-01,1961,6,12.9892168045044,139.125198364258
1961-07-01,1961,7,12.1435899734497,77.9661331176758
1961-08-01,1961,8,12.8846254348755,135.736297607422
1961-09-01,1961,9,13.6812152862549,62.6168632507324
1961-10-01,1961,10,6.91943025588989,82.7521286010742
1961-11-01,1961,11,0.502265393733978,58.6442070007324
1961-12-01,1961,12,-4.31630325317383,103.03067779541
1962-01-01,1962,1,-2.61433577537537,93.02587890625
1962-02-01,1962,2,-4.60843753814697,76.2085342407227
1962-03-01,1962,3,-3.77401661872864,79.3279037475586
1962-04-01,1962,4,4.63620471954346,57.114875793457
1962-05-01,1962,5,5.7765154838562,175.637405395508
1962-06-01,1962,6,10.6442098617554,43.5094032287598
1962-07-01,1962,7,11.8105573654175,98.2929229736328
1962-08-01,1962,8,13.3651838302612,80.9513702392578
1962-09-01,1962,9,9.1497745513916,86.1811218261719
1962-10-01,1962,10,5.7474889755249,16.042121887207
1962-11-01,1962,11,-0.775202989578247,32.7091598510742
1962-12-01,1962,12,-6.76320648193359,64.820426940918
1963-01-01,1963,1,-9.71398258209229,47.5531921386719
1963-02-01,1963,2,-8.23577213287354,18.7302474975586
1963-03-01,1963,3,-0.542793154716492,57.6292533874512
1963-04-01,1963,4,4.57569932937622,26.2411060333252
1963-05-01,1963,5,8.66809463500977,97.8757019042969
1963-06-01,1963,6,12.3356761932373,164.233703613281
1963-07-01,1963,7,14.7146759033203,57.5408668518066
1963-08-01,1963,8,13.0173435211182,102.409477233887
1963-09-01,1963,9,10.6749229431152,86.9066162109375
1963-10-01,1963,10,5.06599426269531,49.4054641723633
1963-11-01,1963,11,3.82415723800659,148.942031860352
1963-12-01,1963,12,-6.68878984451294,9.12245273590088
1964-01-01,1964,1,-5.80737733840942,36.0117073059082
1964-02-01,1964,2,-3.78018140792847,46.7172012329102
1964-03-01,1964,3,-3.8142077922821,46.5763740539551
1964-04-01,1964,4,5.4167013168335,81.5192642211914
1964-05-01,1964,5,9.35276031494141,126.922439575195
1964-06-01,1964,6,13.9023361206055,118.703575134277
1964-07-01,1964,7,14.5766105651855,55.2509155273438
1964-08-01,1964,8,11.7176313400269,186.920196533203
1964-09-01,1964,9,9.95443248748779,86.7009048461914
1964-10-01,1964,10,3.78791403770447,148.832046508789
1964-11-01,1964,11,1.02573001384735,143.824462890625
1964-12-01,1964,12,-3.19301629066467,62.1793327331543
1965-01-01,1965,1,-2.25307607650757,105.557098388672
1965-02-01,1965,2,-6.94463539123535,144.862716674805
1965-03-01,1965,3,-1.46582233905792,116.110191345215
1965-04-01,1965,4,2.61319184303284,102.126678466797
1965-05-01,1965,5,6.75043821334839,228.538772583008
1965-06-01,1965,6,11.8161554336548,151.158142089844
1965-07-01,1965,7,11.7488317489624,140.674133300781
1965-08-01,1965,8,11.4764375686646,72.8419418334961
1965-09-01,1965,9,9.27865123748779,105.772216796875
1965-10-01,1965,10,5.01914644241333,34.4912910461426
1965-11-01,1965,11,-2.04867196083069,71.6793212890625
1965-12-01,1965,12,-0.96997058391571,164.125106811523
1966-01-01,1966,1,-6.83809852600098,59.6864891052246
1966-02-01,1966,2,2.0707676410675,95.0045776367188
1966-03-01,1966,3,-1.23387908935547,129.686721801758
1966-04-01,1966,4,5.73341035842896,119.349235534668
1966-05-01,1966,5,9.09926700592041,91.7133712768555
1966-06-01,1966,6,13.2149610519409,213.474411010742
1966-07-01,1966,7,12.4762554168701,185.269012451172
1966-08-01,1966,8,11.9706764221191,168.736618041992
1966-09-01,1966,9,9.77169227600098,60.8965187072754
1966-10-01,1966,10,8.60190105438232,65.2998657226562
1966-11-01,1966,11,-1.13122391700745,57.5587539672852
1966-12-01,1966,12,-2.56513786315918,169.014450073242
1967-01-01,1967,1,-3.85607576370239,150.072219848633
1967-02-01,1967,2,-1.70592522621155,116.969200134277
1967-03-01,1967,3,0.945142924785614,108.332557678223
1967-04-01,1967,4,2.73783135414124,75.2503814697266
1967-05-01,1967,5,9.0737361907959,123.34016418457
1967-06-01,1967,6,11.6089630126953,104.178863525391
1967-07-01,1967,7,15.6500577926636,45.7188758850098
1967-08-01,1967,8,13.0915670394897,73.955436706543
1967-09-01,1967,9,10.5659809112549,187.412857055664
1967-10-01,1967,10,7.94367790222168,50.0320625305176
1967-11-01,1967,11,0.463552951812744,35.8623542785645
1967-12-01,1967,12,-3.87734436988831,160.920028686523
1968-01-01,1968,1,-5.15044546127319,132.770690917969
1968-02-01,1968,2,-2.39512872695923,32.8667831420898
1968-03-01,1968,3,0.093494176864624,92.1760559082031
1968-04-01,1968,4,4.72993040084839,47.0782165527344
1968-05-01,1968,5,7.47860145568848,76.673942565918
1968-06-01,1968,6,12.4939289093018,131.158935546875
1968-07-01,1968,7,12.8971700668335,78.6442337036133
1968-08-01,1968,8,12.499044418335,179.675689697266
1968-09-01,1968,9,9.46665477752686,124.435508728027
1968-10-01,1968,10,6.3885383605957,73.6995086669922
1968-11-01,1968,11,0.6503946185112,35.8376541137695
1968-12-01,1968,12,-5.40973854064941,77.8199920654297
1969-01-01,1969,1,-2.82900023460388,74.1837463378906
1969-02-01,1969,2,-5.331618309021,92.1203002929688
1969-03-01,1969,3,-2.73669338226318,102.048828125
1969-04-01,1969,4,3.15963244438171,127.663459777832
1969-05-01,1969,5,10.509819984436,51.3044471740723
1969-06-01,1969,6,11.2272958755493,193.901184082031
1969-07-01,1969,7,15.2380781173706,57.6473045349121
1969-08-01,1969,8,12.5345678329468,104.425811767578
1969-09-01,1969,9,10.5708332061768,64.6400299072266
1969-10-01,1969,10,6.95854043960571,20.4053115844727
1969-11-01,1969,11,1.52191376686096,143.651168823242
1969-12-01,1969,12,-7.39300727844238,35.2428665161133
1970-01-01,1970,1,-4.93726205825806,35.4434432983398
1970-02-01,1970,2,-4.63266372680664,264.869934082031
1970-03-01,1970,3,-2.56189441680908,183.002532958984
1970-04-01,1970,4,1.70830845832825,149.74040222168
1970-05-01,1970,5,6.56833362579346,153.712249755859
1970-06-01,1970,6,13.2552671432495,74.1984710693359
1970-07-01,1970,7,13.2953491210938,109.226142883301
1970-08-01,1970,8,13.5390071868896,113.084884643555
1970-09-01,1970,9,9.8442268371582,58.1320762634277
1970-10-01,1970,10,5.07698392868042,190.430480957031
1970-11-01,1970,11,2.40574765205383,79.2670516967773
1970-12-01,1970,12,-3.77249073982239,120.885673522949
1971-01-01,1971,1,-4.38761234283447,40.047306060791
1971-02-01,1971,2,-3.6653790473938,74.0575942993164
1971-03-01,1971,3,-3.42202305793762,56.2931671142578
1971-04-01,1971,4,4.54383087158203,72.544303894043
