"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-3.01657128334045,18.317590713501
1961-02-01,1961,2,2.0910439491272,31.5720195770264
1961-03-01,1961,3,6.33264493942261,16.3676776885986
1961-04-01,1961,4,11.6358776092529,58.0863647460938
1961-05-01,1961,5,11.6265554428101,73.1596527099609
1961-06-01,1961,6,17.6037311553955,61.6897926330566
1961-07-01,1961,7,16.5162353515625,60.077465057373
1961-08-01,1961,8,17.73366355896,17.4876880645752
1961-09-01,1961,9,16.510856628418,18.9699897766113
1961-10-01,1961,10,10.4513874053955,56.5493621826172
1961-11-01,1961,11,3.58328604698181,73.6229019165039
1961-12-01,1961,12,-2.47259879112244,40.9640159606934
1962-01-01,1962,1,-1.02152407169342,14.8680629730225
1962-02-01,1962,2,-1.57366251945496,36.3954277038574
1962-03-01,1962,3,-0.264649778604507,52.0908813476562
1962-04-01,1962,4,10.0339412689209,45.7278213500977
1962-05-01,1962,5,11.0433559417725,117.623405456543
1962-06-01,1962,6,14.687629699707,30.305871963501
1962-07-01,1962,7,16.5480098724365,59.0682907104492
1962-08-01,1962,8,18.7315044403076,32.5632362365723
1962-09-01,1962,9,12.9561185836792,32.1053428649902
1962-10-01,1962,10,8.6128396987915,53.8747749328613
1962-11-01,1962,11,3.13300323486328,107.048210144043
1962-12-01,1962,12,-4.84165573120117,27.9276351928711
1963-01-01,1963,1,-8.23850631713867,45.5086822509766
1963-02-01,1963,2,-6.25812149047852,25.3717784881592
1963-03-01,1963,3,0.735216975212097,39.0053100585938
1963-04-01,1963,4,9.56656265258789,19.6679706573486
1963-05-01,1963,5,13.5009784698486,101.878883361816
1963-06-01,1963,6,17.0314502716064,63.8464317321777
1963-07-01,1963,7,19.2990531921387,11.4822778701782
1963-08-01,1963,8,18.1545028686523,112.24503326416
1963-09-01,1963,9,15.2887392044067,71.8256530761719
1963-10-01,1963,10,8.64362239837646,19.9456825256348
1963-11-01,1963,11,6.81400394439697,36.6403350830078
1963-12-01,1963,12,-5.38808393478394,14.1605443954468
1964-01-01,1964,1,-6.26455450057983,4.00317001342773
1964-02-01,1964,2,-1.4221693277359,18.7878856658936
1964-03-01,1964,3,-0.0455215014517307,43.3594589233398
1964-04-01,1964,4,9.81519222259521,33.7275543212891
1964-05-01,1964,5,13.4224891662598,78.7143478393555
1964-06-01,1964,6,18.5210247039795,84.8908309936523
1964-07-01,1964,7,18.4766902923584,53.1393280029297
1964-08-01,1964,8,16.2428131103516,77.711784362793
1964-09-01,1964,9,13.807168006897,12.8772926330566
1964-10-01,1964,10,7.9006142616272,128.16569519043
1964-11-01,1964,11,4.76531887054443,9.78934288024902
1964-12-01,1964,12,-1.30872166156769,37.2898864746094
1965-01-01,1965,1,-0.966079890727997,35.6291351318359
1965-02-01,1965,2,-4.42922973632812,23.4735641479492
1965-03-01,1965,3,1.70868337154388,36.9935760498047
1965-04-01,1965,4,7.11135005950928,71.2865524291992
1965-05-01,1965,5,11.1023902893066,103.912017822266
1965-06-01,1965,6,15.9881858825684,107.246231079102
1965-07-01,1965,7,16.4139862060547,109.683036804199
1965-08-01,1965,8,15.3224115371704,71.4429397583008
1965-09-01,1965,9,14.2967910766602,35.6294555664062
1965-10-01,1965,10,6.95556974411011,8.29427909851074
1965-11-01,1965,11,0.738821625709534,30.3455486297607
1965-12-01,1965,12,0.72375899553299,44.822940826416
1966-01-01,1966,1,-4.82594442367554,16.4551429748535
1966-02-01,1966,2,5.18255710601807,38.3305892944336
1966-03-01,1966,3,3.38271069526672,13.6393003463745
1966-04-01,1966,4,10.5759506225586,34.1447715759277
1966-05-01,1966,5,13.832763671875,81.1619262695312
1966-06-01,1966,6,17.0724296569824,104.423820495605
1966-07-01,1966,7,17.0934200286865,142.867858886719
1966-08-01,1966,8,16.8975143432617,79.3519592285156
1966-09-01,1966,9,13.6130132675171,32.0929145812988
1966-10-01,1966,10,12.8237171173096,27.6093158721924
1966-11-01,1966,11,3.21903443336487,50.0919456481934
1966-12-01,1966,12,0.556188464164734,50.9318771362305
1967-01-01,1967,1,-1.83107221126556,14.5037441253662
1967-02-01,1967,2,0.676834344863892,12.7560186386108
1967-03-01,1967,3,5.20942497253418,18.5697803497314
1967-04-01,1967,4,8.48511600494385,23.5342082977295
1967-05-01,1967,5,14.1653242111206,59.6559257507324
1967-06-01,1967,6,16.4756813049316,54.5477600097656
1967-07-01,1967,7,20.079252243042,56.673095703125
1967-08-01,1967,8,17.7782611846924,9.41301250457764
1967-09-01,1967,9,15.2395858764648,106.46802520752
1967-10-01,1967,10,10.4918260574341,16.6055107116699
1967-11-01,1967,11,3.02404189109802,30.1812133789062
1967-12-01,1967,12,-1.32875537872314,35.1841201782227
1968-01-01,1968,1,-3.56694674491882,31.31125831604
1968-02-01,1968,2,0.677240431308746,10.4833154678345
1968-03-01,1968,3,4.23587703704834,9.62851142883301
1968-04-01,1968,4,9.9646110534668,26.5353088378906
1968-05-01,1968,5,12.8324327468872,79.343017578125
1968-06-01,1968,6,17.4035377502441,78.7186965942383
1968-07-01,1968,7,17.7731246948242,68.8817443847656
1968-08-01,1968,8,16.4619064331055,119.570823669434
1968-09-01,1968,9,13.3921384811401,23.9179248809814
1968-10-01,1968,10,8.86620712280273,28.7674694061279
1968-11-01,1968,11,4.91225433349609,46.3893356323242
1968-12-01,1968,12,-3.6690776348114,19.0595188140869
1969-01-01,1969,1,-2.97098445892334,34.4279632568359
1969-02-01,1969,2,-2.06716156005859,39.1767387390137
1969-03-01,1969,3,0.683524489402771,41.2448196411133
1969-04-01,1969,4,8.6539478302002,7.217604637146
1969-05-01,1969,5,15.6255216598511,85.8285522460938
1969-06-01,1969,6,15.7824382781982,117.454544067383
1969-07-01,1969,7,18.9656295776367,33.4774055480957
1969-08-01,1969,8,16.3961963653564,56.1227760314941
1969-09-01,1969,9,14.372368812561,7.82811689376831
1969-10-01,1969,10,9.58111190795898,7.11796045303345
1969-11-01,1969,11,4.65868377685547,51.3710136413574
1969-12-01,1969,12,-4.82492351531982,42.8286209106445
1970-01-01,1970,1,-3.34215021133423,12.2504558563232
1970-02-01,1970,2,-2.0923924446106,89.3708267211914
1970-03-01,1970,3,1.49063622951508,33.7872657775879
1970-04-01,1970,4,7.52870750427246,43.6276016235352
1970-05-01,1970,5,11.8975658416748,22.9541759490967
1970-06-01,1970,6,17.2840404510498,72.5285110473633
1970-07-01,1970,7,17.8245182037354,95.9353561401367
1970-08-01,1970,8,17.6896286010742,84.1754531860352
1970-09-01,1970,9,13.0768575668335,16.9868602752686
1970-10-01,1970,10,7.99606323242188,48.3591117858887
1970-11-01,1970,11,5.73459625244141,83.3701477050781
1970-12-01,1970,12,-0.39628478884697,29.7314872741699
1971-01-01,1971,1,-3.30993366241455,21.9649200439453
1971-02-01,1971,2,1.04960179328918,14.7665452957153
1971-03-01,1971,3,1.12761294841766,39.022876739502
1971-04-01,1971,4,9.4416618347168,28.9347476959229
1971-05-01,1971,5,15.0000476837158,36.6961326599121
1971-06-01,1971,6,15.0265121459961,78.8420028686523
1971-07-01,1971,7,18.0686531066895,47.2939987182617
1971-08-01,1971,8,19.0200099945068,42.90771484375
1971-09-01,1971,9,11.4583721160889,37.1176910400391
1971-10-01,1971,10,7.32493257522583,18.4845104217529
1971-11-01,1971,11,2.68271493911743,53.7418022155762
1971-12-01,1971,12,2.18236684799194,18.3933715820312
1972-01-01,1972,1,-3.5065553188324,41.1256637573242
1972-02-01,1972,2,1.85722851753235,25.869441986084
1972-03-01,1972,3,5.58234453201294,2.87903332710266
1972-04-01,1972,4,7.81140947341919,87.4708633422852
1972-05-01,1972,5,12.8115663528442,69.5404434204102
1972-06-01,1972,6,17.1730728149414,43.9847145080566
1972-07-01,1972,7,18.5134220123291,121.479377746582
1972-08-01,1972,8,16.917688369751,42.4094314575195
1972-09-01,1972,9,11.4624824523926,10.2613573074341
1972-10-01,1972,10,6.16385889053345,14.6316013336182
1972-11-01,1972,11,3.34972357749939,26.6072063446045
1972-12-01,1972,12,-0.583038210868835,2.88739466667175
1973-01-01,1973,1,-1.4869236946106,29.8778438568115
1973-02-01,1973,2,0.194527000188828,35.0350608825684
1973-03-01,1973,3,3.96323180198669,13.9289970397949
1973-04-01,1973,4,6.3109245300293,77.8765716552734
1973-05-01,1973,5,13.6157760620117,14.4522943496704
1973-06-01,1973,6,16.3217296600342,72.6981582641602
1973-07-01,1973,7,17.7710247039795,48.852222442627
1973-08-01,1973,8,18.6752300262451,33.0705909729004
1973-09-01,1973,9,14.7947521209717,60.3781623840332
1973-10-01,1973,10,6.65262603759766,23.9026527404785
1973-11-01,1973,11,1.30839562416077,17.5183238983154
1973-12-01,1973,12,-0.869987547397614,12.2150726318359
1974-01-01,1974,1,0.878959178924561,35.7722663879395
1974-02-01,1974,2,3.31755566596985,16.6592769622803
1974-03-01,1974,3,6.78793668746948,2.3514609336853
1974-04-01,1974,4,8.28284358978271,5.90508556365967
1974-05-01,1974,5,12.1237802505493,49.9751510620117
1974-06-01,1974,6,14.1813907623291,160.106948852539
1974-07-01,1974,7,16.7539005279541,108.305564880371
1974-08-01,1974,8,19.4459533691406,30.6400604248047
1974-09-01,1974,9,13.571738243103,19.0678653717041
1974-10-01,1974,10,4.87847900390625,78.0717697143555
1974-11-01,1974,11,3.26053094863892,43.0767669677734
1974-12-01,1974,12,2.58860540390015,53.4361724853516
1975-01-01,1975,1,1.90177285671234,17.2170391082764
1975-02-01,1975,2,-0.599224090576172,1.2530734539032
1975-03-01,1975,3,4.42923355102539,32.7264633178711
1975-04-01,1975,4,7.67121553421021,26.377140045166
1975-05-01,1975,5,14.1969690322876,73.6474914550781
1975-06-01,1975,6,16.0849018096924,99.6484298706055
1975-07-01,1975,7,18.7741298675537,41.5952186584473
1975-08-01,1975,8,18.0238876342773,76.0356216430664
1975-09-01,1975,9,16.4996738433838,19.7641162872314
1975-10-01,1975,10,8.14374828338623,58.3322792053223
1975-11-01,1975,11,1.74892044067383,27.3313274383545
1975-12-01,1975,12,-0.624485552310944,23.6600131988525
1976-01-01,1976,1,-0.179469466209412,38.222354888916
1976-02-01,1976,2,-1.24901282787323,13.2070283889771
1976-03-01,1976,3,0.756581723690033,5.7175760269165
1976-04-01,1976,4,8.13809680938721,24.5120334625244
1976-05-01,1976,5,13.4902791976929,58.5156669616699
1976-06-01,1976,6,17.5199146270752,42.9799690246582
1976-07-01,1976,7,19.5176429748535,29.8564395904541
1976-08-01,1976,8,15.4950485229492,55.3760871887207
1976-09-01,1976,9,12.6291341781616,60.6437759399414
1976-10-01,1976,10,9.69547748565674,48.549919128418
1976-11-01,1976,11,4.9869909286499,66.5608367919922
1976-12-01,1976,12,-1.48333692550659,27.1317596435547
1977-01-01,1977,1,-1.42026162147522,95.4270553588867
1977-02-01,1977,2,1.56879365444183,80.6570892333984
1977-03-01,1977,3,6.8907732963562,42.6274909973145
1977-04-01,1977,4,6.94469404220581,49.7266159057617
1977-05-01,1977,5,13.1804170608521,22.150354385376
1977-06-01,1977,6,17.6170082092285,20.2786331176758
1977-07-01,1977,7,17.7621879577637,53.085319519043
1977-08-01,1977,8,16.6244831085205,93.5985870361328
1977-09-01,1977,9,11.7002611160278,31.2346248626709
1977-10-01,1977,10,9.70469760894775,11.1277952194214
1977-11-01,1977,11,4.40499687194824,29.8302440643311
1977-12-01,1977,12,-1.25092649459839,12.5739698410034
1978-01-01,1978,1,-0.821071207523346,19.1920051574707
1978-02-01,1978,2,-2.64031672477722,27.9996662139893
1978-03-01,1978,3,4.66917657852173,18.4854507446289
1978-04-01,1978,4,6.93606758117676,36.4890480041504
1978-05-01,1978,5,11.6274547576904,57.605281829834
1978-06-01,1978,6,15.5376195907593,52.0512428283691
1978-07-01,1978,7,16.2174415588379,51.0074119567871
1978-08-01,1978,8,16.2361316680908,40.331371307373
1978-09-01,1978,9,13.0564270019531,25.249927520752
1978-10-01,1978,10,8.98574733734131,19.8196868896484
1978-11-01,1978,11,1.47522127628326,35.0879783630371
1978-12-01,1978,12,-0.353191405534744,18.9466381072998
1979-01-01,1979,1,-5.3962721824646,31.5360717773438
1979-02-01,1979,2,-0.675326108932495,37.4207611083984
1979-03-01,1979,3,4.68410921096802,53.290283203125
1979-04-01,1979,4,6.73963260650635,52.9551277160645
1979-05-01,1979,5,14.0112724304199,14.4974927902222
1979-06-01,1979,6,18.2162475585938,87.9462738037109
1979-07-01,1979,7,15.7655782699585,71.2842102050781
1979-08-01,1979,8,16.4004955291748,72.0280075073242
1979-09-01,1979,9,13.9539661407471,47.4401206970215
1979-10-01,1979,10,7.51539421081543,5.83467245101929
1979-11-01,1979,11,3.2450475692749,86.7796325683594
1979-12-01,1979,12,3.11715197563171,42.2273979187012
1980-01-01,1980,1,-4.3976845741272,18.8533058166504
1980-02-01,1980,2,0.934146463871002,20.5161380767822
1980-03-01,1980,3,2.36173486709595,17.0130443572998
1980-04-01,1980,4,5.73377704620361,53.3475952148438
1980-05-01,1980,5,10.6756887435913,54.2138977050781
1980-06-01,1980,6,15.702597618103,59.8231582641602
1980-07-01,1980,7,16.6037998199463,39.6371154785156
1980-08-01,1980,8,17.5254211425781,26.795431137085
1980-09-01,1980,9,13.1962432861328,36.536750793457
1980-10-01,1980,10,7.86177253723145,54.3795356750488
1980-11-01,1980,11,1.71420884132385,49.8392219543457
1980-12-01,1980,12,-0.759466290473938,23.3596839904785
1981-01-01,1981,1,-3.72618126869202,15.7554903030396
1981-02-01,1981,2,-0.325715839862823,16.4144515991211
1981-03-01,1981,3,6.72795724868774,25.3120079040527
1981-04-01,1981,4,7.90606546401978,11.1825895309448
1981-05-01,1981,5,14.030366897583,46.1202507019043
1981-06-01,1981,6,17.4400768280029,64.0303268432617
1981-07-01,1981,7,17.2909736633301,77.039192199707
1981-08-01,1981,8,17.890604019165,32.9401321411133
1981-09-01,1981,9,14.596061706543,103.20613861084
1981-10-01,1981,10,9.1486930847168,58.9692687988281
1981-11-01,1981,11,3.44873714447021,30.7471122741699
1981-12-01,1981,12,-2.30557489395142,72.6740036010742
1982-01-01,1982,1,-5.0594596862793,30.7332344055176
1982-02-01,1982,2,-2.05737161636353,4.63837385177612
1982-03-01,1982,3,4.05920839309692,26.1865215301514
1982-04-01,1982,4,6.21287965774536,7.80026388168335
