"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-2.63512563705444,25.3493976593018
1961-02-01,1961,2,2.14177227020264,42.916576385498
1961-03-01,1961,3,5.44987440109253,40.6088905334473
1961-04-01,1961,4,11.9065914154053,26.5163822174072
1961-05-01,1961,5,11.1880197525024,87.9061431884766
1961-06-01,1961,6,17.3435878753662,53.1064605712891
1961-07-01,1961,7,16.0412101745605,87.0083618164062
1961-08-01,1961,8,15.3559942245483,76.7967987060547
1961-09-01,1961,9,15.8477354049683,30.3118171691895
1961-10-01,1961,10,9.78009605407715,40.9058456420898
1961-11-01,1961,11,3.29223656654358,46.4924468994141
1961-12-01,1961,12,-2.73643922805786,36.0321769714355
1962-01-01,1962,1,-0.447557359933853,42.1896209716797
1962-02-01,1962,2,-1.09053254127502,52.7524070739746
1962-03-01,1962,3,0.287961155176163,47.6732025146484
1962-04-01,1962,4,10.3741121292114,30.8844604492188
1962-05-01,1962,5,11.1275234222412,88.0371627807617
1962-06-01,1962,6,15.479718208313,50.8441123962402
1962-07-01,1962,7,16.0612678527832,63.0832862854004
1962-08-01,1962,8,17.5645885467529,28.3964195251465
1962-09-01,1962,9,13.279372215271,45.9210777282715
1962-10-01,1962,10,8.50897789001465,22.1419124603271
1962-11-01,1962,11,3.77446484565735,48.4165496826172
1962-12-01,1962,12,-4.41093730926514,42.8262138366699
1963-01-01,1963,1,-7.88039064407349,18.5575771331787
1963-02-01,1963,2,-5.5738639831543,20.3683395385742
1963-03-01,1963,3,1.42067396640778,24.9739303588867
1963-04-01,1963,4,9.40693855285645,17.4022655487061
1963-05-01,1963,5,13.3994922637939,84.5986022949219
1963-06-01,1963,6,17.2729511260986,100.790222167969
1963-07-01,1963,7,19.4819755554199,23.7014255523682
1963-08-01,1963,8,17.811731338501,63.8195304870605
1963-09-01,1963,9,15.3074951171875,90.1275177001953
1963-10-01,1963,10,8.58722019195557,18.583553314209
1963-11-01,1963,11,7.28657293319702,62.4866371154785
1963-12-01,1963,12,-5.17769145965576,6.22017431259155
1964-01-01,1964,1,-5.74997854232788,11.5206708908081
1964-02-01,1964,2,-1.363436460495,19.2280693054199
1964-03-01,1964,3,-0.118320755660534,30.4745807647705
1964-04-01,1964,4,9.69289684295654,39.3354759216309
1964-05-01,1964,5,14.2291889190674,61.4189300537109
1964-06-01,1964,6,18.8448333740234,118.324569702148
1964-07-01,1964,7,19.2212333679199,27.5644264221191
1964-08-01,1964,8,16.1263160705566,159.586730957031
1964-09-01,1964,9,13.7115249633789,25.1266326904297
1964-10-01,1964,10,8.03076648712158,100.809661865234
1964-11-01,1964,11,4.31612682342529,58.1895141601562
1964-12-01,1964,12,-0.472941070795059,29.9801216125488
1965-01-01,1965,1,-0.0134799601510167,53.4448280334473
1965-02-01,1965,2,-3.46989560127258,17.2556629180908
1965-03-01,1965,3,1.51083290576935,38.8659019470215
1965-04-01,1965,4,7.42801141738892,63.6804389953613
1965-05-01,1965,5,11.2994184494019,107.728843688965
1965-06-01,1965,6,16.2739601135254,62.2913360595703
1965-07-01,1965,7,16.5528182983398,63.2593612670898
1965-08-01,1965,8,16.13649559021,68.6503067016602
1965-09-01,1965,9,14.3037090301514,29.707426071167
1965-10-01,1965,10,7.50527858734131,5.05751466751099
1965-11-01,1965,11,0.135028317570686,34.2838363647461
1965-12-01,1965,12,1.46630084514618,81.4810791015625
1966-01-01,1966,1,-4.81829309463501,22.088565826416
1966-02-01,1966,2,3.9823911190033,57.8967437744141
1966-03-01,1966,3,3.30776453018188,42.4869003295898
1966-04-01,1966,4,10.1760482788086,44.1741638183594
1966-05-01,1966,5,13.5788345336914,42.3734970092773
1966-06-01,1966,6,17.5332584381104,100.951782226562
1966-07-01,1966,7,17.0054512023926,99.6056289672852
1966-08-01,1966,8,16.5606079101562,151.589950561523
1966-09-01,1966,9,13.1792087554932,35.388069152832
1966-10-01,1966,10,12.6199226379395,50.732666015625
1966-11-01,1966,11,3.21245431900024,35.8112525939941
1966-12-01,1966,12,0.763652086257935,107.263214111328
1967-01-01,1967,1,-2.06874537467957,68.835319519043
1967-02-01,1967,2,1.43433499336243,46.1648788452148
1967-03-01,1967,3,5.20960998535156,44.1665077209473
1967-04-01,1967,4,7.75085258483887,39.932544708252
1967-05-01,1967,5,13.9204902648926,119.74885559082
1967-06-01,1967,6,16.2191982269287,77.8065719604492
1967-07-01,1967,7,19.8352718353271,39.9290046691895
1967-08-01,1967,8,17.6656322479248,42.1257438659668
1967-09-01,1967,9,15.0420122146606,110.811553955078
1967-10-01,1967,10,11.0943412780762,34.6511497497559
1967-11-01,1967,11,3.4939501285553,37.5562210083008
1967-12-01,1967,12,-0.891890645027161,87.6419067382812
1968-01-01,1968,1,-3.4694709777832,65.8977279663086
1968-02-01,1968,2,0.864978849887848,27.5338096618652
1968-03-01,1968,3,4.49755811691284,20.9834136962891
1968-04-01,1968,4,9.83090782165527,33.2190437316895
1968-05-01,1968,5,12.2594146728516,80.8456192016602
1968-06-01,1968,6,17.713399887085,107.334159851074
1968-07-01,1968,7,18.1556167602539,50.3998336791992
1968-08-01,1968,8,17.0211315155029,101.727867126465
1968-09-01,1968,9,13.8664264678955,55.2056159973145
1968-10-01,1968,10,9.10750675201416,23.5468578338623
1968-11-01,1968,11,4.65916681289673,39.6211891174316
1968-12-01,1968,12,-2.51816749572754,23.656810760498
1969-01-01,1969,1,-2.64887118339539,42.7676773071289
