"Date","Year","Month","Temp","Prec"
1961-01-01,1961,1,-4.19920444488525,27.0727195739746
1961-02-01,1961,2,1.40711236000061,27.0979461669922
1961-03-01,1961,3,4.86309146881104,24.0329494476318
1961-04-01,1961,4,10.7086839675903,34.754280090332
1961-05-01,1961,5,10.584677696228,75.8001480102539
1961-06-01,1961,6,16.5439491271973,139.438415527344
1961-07-01,1961,7,15.3538951873779,82.8024063110352
1961-08-01,1961,8,15.9059028625488,44.1449775695801
1961-09-01,1961,9,14.7902984619141,41.3047180175781
1961-10-01,1961,10,9.32378387451172,49.8345680236816
1961-11-01,1961,11,2.81389856338501,54.4233856201172
1961-12-01,1961,12,-3.43366265296936,35.5403251647949
1962-01-01,1962,1,-2.18049716949463,29.4681434631348
1962-02-01,1962,2,-2.48672223091125,46.054141998291
1962-03-01,1962,3,-1.20683145523071,48.504825592041
1962-04-01,1962,4,8.68373394012451,34.535285949707
1962-05-01,1962,5,10.1850652694702,108.277603149414
1962-06-01,1962,6,13.9854440689087,33.0739974975586
1962-07-01,1962,7,15.6984796524048,36.9607963562012
1962-08-01,1962,8,17.5855655670166,28.4047565460205
1962-09-01,1962,9,11.7781000137329,34.8258476257324
1962-10-01,1962,10,7.30909776687622,42.795108795166
1962-11-01,1962,11,2.45561575889587,81.6500015258789
1962-12-01,1962,12,-5.64780282974243,31.2187118530273
1963-01-01,1963,1,-8.71243858337402,27.9268131256104
1963-02-01,1963,2,-7.05744981765747,20.136194229126
1963-03-01,1963,3,0.147973701357841,34.6105117797852
1963-04-01,1963,4,8.26290130615234,26.9606132507324
1963-05-01,1963,5,12.6005029678345,90.7377624511719
1963-06-01,1963,6,16.5001182556152,97.6070251464844
1963-07-01,1963,7,18.6263656616211,26.866361618042
1963-08-01,1963,8,17.1468811035156,82.2750625610352
1963-09-01,1963,9,13.9771270751953,79.3281784057617
1963-10-01,1963,10,7.26384353637695,21.5258560180664
1963-11-01,1963,11,6.13636636734009,38.4996109008789
1963-12-01,1963,12,-5.86932945251465,5.85017776489258
1964-01-01,1964,1,-6.60709428787231,4.83720207214355
1964-02-01,1964,2,-2.3545081615448,19.8200569152832
1964-03-01,1964,3,-0.79504120349884,39.3287467956543
1964-04-01,1964,4,8.76154232025146,28.3360424041748
1964-05-01,1964,5,12.607421875,67.6796035766602
1964-06-01,1964,6,17.7856922149658,76.295166015625
1964-07-01,1964,7,18.1100120544434,57.5760345458984
1964-08-01,1964,8,15.5206460952759,103.921104431152
1964-09-01,1964,9,12.8290433883667,13.7230854034424
1964-10-01,1964,10,7.14798021316528,102.157844543457
1964-11-01,1964,11,4.07242870330811,21.6833839416504
1964-12-01,1964,12,-2.18518733978271,31.6534843444824
1965-01-01,1965,1,-1.62891364097595,47.9754257202148
1965-02-01,1965,2,-4.79737520217896,12.8645372390747
1965-03-01,1965,3,0.494810611009598,40.3303146362305
1965-04-01,1965,4,6.11141681671143,59.2591743469238
1965-05-01,1965,5,10.4599571228027,113.116874694824
1965-06-01,1965,6,15.3138189315796,100.650054931641
1965-07-01,1965,7,15.8515367507935,96.1362228393555
1965-08-01,1965,8,14.5359811782837,71.2952117919922
1965-09-01,1965,9,12.9835987091064,48.066967010498
1965-10-01,1965,10,6.00414848327637,8.84420680999756
1965-11-01,1965,11,-0.358505934476852,34.2782173156738
1965-12-01,1965,12,-0.517962694168091,50.6298294067383
1966-01-01,1966,1,-5.73703813552856,17.0812397003174
1966-02-01,1966,2,3.90553998947144,33.7332992553711
1966-03-01,1966,3,2.41147136688232,19.7067680358887
1966-04-01,1966,4,9.07755374908447,36.3315658569336
1966-05-01,1966,5,12.4327459335327,49.2084732055664
1966-06-01,1966,6,16.1523056030273,89.0459899902344
1966-07-01,1966,7,16.1895942687988,186.23957824707
1966-08-01,1966,8,15.6457281112671,70.2670059204102
1966-09-01,1966,9,12.2345151901245,35.9957237243652
1966-10-01,1966,10,11.4081535339355,30.6092758178711
1966-11-01,1966,11,1.92678654193878,43.158992767334
1966-12-01,1966,12,-0.517537951469421,68.9156646728516
1967-01-01,1967,1,-2.95584988594055,23.2712554931641
1967-02-01,1967,2,-0.332039296627045,23.9351501464844
1967-03-01,1967,3,4.00998497009277,33.2574462890625
1967-04-01,1967,4,7.09609031677246,24.2201900482178
1967-05-01,1967,5,12.7835159301758,56.9511108398438
1967-06-01,1967,6,15.3199987411499,69.8548431396484
1967-07-01,1967,7,18.7168407440186,65.5486907958984
1967-08-01,1967,8,16.4801750183105,53.0562400817871
1967-09-01,1967,9,13.8240041732788,102.467254638672
1967-10-01,1967,10,9.89871692657471,18.6213207244873
1967-11-01,1967,11,2.55322098731995,23.9177684783936
1967-12-01,1967,12,-1.66283273696899,57.8310356140137
1968-01-01,1968,1,-4.43756055831909,47.1333885192871
1968-02-01,1968,2,-0.392276763916016,29.1552276611328
1968-03-01,1968,3,3.25400924682617,25.5168209075928
1968-04-01,1968,4,9.03952312469482,23.85129737854
1968-05-01,1968,5,11.7422027587891,56.2395668029785
1968-06-01,1968,6,16.7172088623047,53.5359802246094
1968-07-01,1968,7,16.6050071716309,46.4248924255371
1968-08-01,1968,8,15.8363924026489,104.254234313965
1968-09-01,1968,9,12.5531854629517,29.0960655212402
1968-10-01,1968,10,7.97588968276978,33.3009223937988
1968-11-01,1968,11,3.82114458084106,56.2721900939941
1968-12-01,1968,12,-4.09619569778442,13.8004064559937
1969-01-01,1969,1,-3.40041732788086,35.470458984375
1969-02-01,1969,2,-3.19035863876343,44.6593284606934
1969-03-01,1969,3,-0.593318581581116,32.8915901184082
1969-04-01,1969,4,7.1879096031189,12.8177356719971
1969-05-01,1969,5,14.6471605300903,96.2490768432617
1969-06-01,1969,6,15.0589647293091,84.9716720581055
1969-07-01,1969,7,18.0018272399902,30.5905055999756
1969-08-01,1969,8,15.6842308044434,64.3422241210938
1969-09-01,1969,9,13.1480522155762,10.2018709182739
1969-10-01,1969,10,8.98466300964355,7.65757274627686
1969-11-01,1969,11,4.04880523681641,42.3135223388672
1969-12-01,1969,12,-5.81717109680176,31.0653038024902
1970-01-01,1970,1,-3.85774350166321,16.5686016082764
1970-02-01,1970,2,-2.98565602302551,84.4664306640625
1970-03-01,1970,3,0.511917948722839,46.7197418212891
1970-04-01,1970,4,6.20347261428833,33.1337127685547
1970-05-01,1970,5,11.0712404251099,20.4434070587158
1970-06-01,1970,6,16.6600246429443,60.8925857543945
1970-07-01,1970,7,16.9027862548828,78.8503952026367
1970-08-01,1970,8,16.5553569793701,95.2935943603516
1970-09-01,1970,9,11.7726182937622,20.7232646942139
1970-10-01,1970,10,7.10119724273682,32.2389869689941
1970-11-01,1970,11,4.85466909408569,72.3730545043945
1970-12-01,1970,12,-1.1020519733429,25.2740516662598
1971-01-01,1971,1,-3.82804250717163,24.7441310882568
1971-02-01,1971,2,0.19318413734436,19.6265640258789
1971-03-01,1971,3,-0.07044318318367,38.5793876647949
1971-04-01,1971,4,8.20646572113037,34.5609245300293
1971-05-01,1971,5,14.323842048645,41.6870880126953
1971-06-01,1971,6,14.1877269744873,62.3443603515625
1971-07-01,1971,7,17.8679485321045,49.3968048095703
1971-08-01,1971,8,18.851146697998,41.1534309387207
1971-09-01,1971,9,10.7308349609375,41.9331016540527
1971-10-01,1971,10,6.82042121887207,21.6818599700928
1971-11-01,1971,11,2.1873824596405,37.9644889831543
1971-12-01,1971,12,2.00403046607971,23.1758975982666
1972-01-01,1972,1,-3.94258069992065,42.4941177368164
1972-02-01,1972,2,1.23910808563232,28.919225692749
1972-03-01,1972,3,4.64021873474121,10.4598636627197
1972-04-01,1972,4,7.0926661491394,87.9004058837891
1972-05-01,1972,5,12.2268104553223,90.4058990478516
1972-06-01,1972,6,16.1292495727539,51.8813896179199
1972-07-01,1972,7,17.9346160888672,125.501029968262
1972-08-01,1972,8,15.9054832458496,74.4558868408203
1972-09-01,1972,9,10.3321685791016,40.0460166931152
1972-10-01,1972,10,5.47808122634888,10.0253047943115
1972-11-01,1972,11,3.01000428199768,27.124340057373
1972-12-01,1972,12,-1.3537962436676,4.71295881271362
1973-01-01,1973,1,-2.12764143943787,23.971960067749
1973-02-01,1973,2,-0.229865878820419,33.703483581543
1973-03-01,1973,3,3.21198391914368,12.7479057312012
1973-04-01,1973,4,5.24539661407471,60.3069038391113
1973-05-01,1973,5,12.6433057785034,34.4802436828613
1973-06-01,1973,6,15.4332027435303,59.393367767334
1973-07-01,1973,7,16.887939453125,65.2492752075195
1973-08-01,1973,8,17.3512687683105,34.734619140625
1973-09-01,1973,9,13.4546203613281,45.3434448242188
1973-10-01,1973,10,5.71851110458374,21.9685802459717
1973-11-01,1973,11,0.692606985569,28.2319259643555
1973-12-01,1973,12,-1.5822114944458,28.9315490722656
1974-01-01,1974,1,0.244682654738426,33.3970642089844
1974-02-01,1974,2,2.57486057281494,20.0142135620117
1974-03-01,1974,3,5.73976850509644,6.85018587112427
1974-04-01,1974,4,7.39491558074951,9.49089908599854
1974-05-01,1974,5,11.3639879226685,40.3891410827637
1974-06-01,1974,6,13.5714664459229,101.681442260742
1974-07-01,1974,7,15.5822257995605,125.287368774414
1974-08-01,1974,8,18.1250667572021,78.6123046875
1974-09-01,1974,9,12.6069068908691,22.7802124023438
1974-10-01,1974,10,4.17160034179688,71.6883773803711
1974-11-01,1974,11,2.65494084358215,48.6995849609375
1974-12-01,1974,12,2.38555836677551,62.9343605041504
1975-01-01,1975,1,1.5939816236496,20.8834838867188
1975-02-01,1975,2,-1.36462664604187,5.07655906677246
1975-03-01,1975,3,3.45858931541443,47.2565956115723
1975-04-01,1975,4,6.79877710342407,15.2272987365723
1975-05-01,1975,5,13.1648616790771,94.6797485351562
1975-06-01,1975,6,15.1619176864624,78.9654769897461
1975-07-01,1975,7,17.7257957458496,57.6202239990234
1975-08-01,1975,8,17.2794494628906,68.9897918701172
1975-09-01,1975,9,15.6327857971191,35.2604751586914
1975-10-01,1975,10,7.35491847991943,56.4688911437988
1975-11-01,1975,11,0.908771872520447,40.3472442626953
1975-12-01,1975,12,-1.04843413829803,21.3814754486084
1976-01-01,1976,1,-1.00250923633575,87.9494094848633
1976-02-01,1976,2,-1.48811519145966,17.977409362793
1976-03-01,1976,3,-0.399024158716202,9.55809497833252
1976-04-01,1976,4,7.16641616821289,15.0162057876587
1976-05-01,1976,5,12.6894664764404,59.8120269775391
