"Date","Year","Month","Temp","Prec"
NA,1950,1,-4.30806441983629,33.2000004947186
NA,1951,1,0.381290314058142,19.4000002890825
NA,1952,1,-0.87483869012325,24.8000003695488
NA,1953,1,-1.73903221919412,26.6000003963709
NA,1954,1,-6.15064502381269,38.8000005781651
NA,1955,1,-3.41967734291909,32.9000004902482
NA,1956,1,-1.43193545186472,13.2000001966953
NA,1957,1,-2.07290317947345,15.6000002324581
NA,1958,1,-1.82290318506139,29.0000004321337
NA,1959,1,-1.32677416389267,15.0000002235174
NA,1960,1,-2.61870961888663,23.5000003501773
NA,1961,1,-3.73935475512858,13.4000001996756
NA,1962,1,-1.62806447973895,26.2000003904104
NA,1963,1,-8.165161107817,30.7000004574656
NA,1964,1,-6.31161276215026,1.60000002384186
NA,1965,1,-1.35612900194622,28.7000004276633
NA,1966,1,-5.37064504124705,12.2000001817942
NA,1967,1,-2.64290316673296,17.0000002533197
NA,1968,1,-4.06999990902841,43.8000006526709
NA,1969,1,-3.36709669893307,35.5000005289912
NA,1970,1,-3.6054837903789,8.90000013262033
NA,1971,1,-3.96806442743588,15.2000002264977
NA,1972,1,-3.70580636878167,26.4000003933907
NA,1973,1,-1.78419350850726,18.6000002771616
NA,1974,1,0.305806444777596,27.7000004127622
NA,1975,1,1.43225803250267,17.3000002577901
NA,1976,1,-0.638709663143081,57.2000008523464
NA,1977,1,-2.08935479200896,70.600001052022
NA,1978,1,-1.14161287770877,20.6000003069639
NA,1979,1,-5.64677406733315,28.9000004306436
NA,1980,1,-4.87258053625063,12.3000001832843
NA,1981,1,-3.683870885401,24.8000003695488
NA,1982,1,-5.69290309856015,30.2000004500151
NA,1983,1,2.47903220265383,34.4000005125999
NA,1984,1,-1.52322577240486,26.9000004008412
NA,1985,1,-8.29806433065284,26.9000004008412
NA,1986,1,-1.76580641214405,35.9000005349517
NA,1987,1,-7.12483855042486,46.8000006973743
NA,1988,1,0.925161269643614,22.5000003352761
NA,1989,1,-0.443225796544744,12.900000192225
NA,1990,1,-1.01129029997654,1.20000001788139
NA,1991,1,-1.02064513847713,4.10000006109476
NA,1992,1,0.0264516123119862,8.7000001296401
NA,1993,1,-0.983548365112755,21.500000320375
NA,1994,1,1.64129028589495,17.1000002548099
NA,1995,1,-1.88709673201365,25.7000003829598
NA,1996,1,-4.68677408879082,33.4000004976988
NA,1997,1,-4.32451603237179,13.3000001981854
NA,1998,1,0.171290318752008,8.80000013113022
NA,1999,1,-1.32193545432341,9.80000014603138
NA,2000,1,-2.86677412947099,40.1000005975366
NA,2001,1,-1.48387093457483,23.4000003486872
NA,2002,1,-1.52774190133618,10.4000001549721
NA,2003,1,-2.36064510852579,30.100000448525
NA,2004,1,-3.6358063703463,45.8000006824732
NA,2005,1,-0.430322571026702,32.0000004768372
NA,2006,1,-5.80290309610146,35.0000005215406
NA,2007,1,3.06741928627654,37.1000005528331
NA,2008,1,0.909677399021964,19.7000002935529
NA,2009,1,-3.39645153698662,19.1000002846122
NA,2010,1,-4.20870958334736,57.3000008538365
NA,2011,1,-0.980645139371195,15.3000002279878
NA,2012,1,0.0880645141606369,39.5000005885959
NA,2013,1,-1.67064512394849,34.7000005170703
NA,2014,1,0.449999989941716,18.7000002786517
NA,2015,1,1.17451610277978,30.4000004529953
NA,2016,1,-1.67806447862137,21.4000003188848
NA,2017,1,-5.8764514815543,18.7000002786517
NA,2018,1,1.49387093435132,41.6000006198883
NA,2019,1,-1.64870964056782,39.9000005945563
NA,2020,1,-0.531612891343332,13.1000001952052
NA,2021,1,-0.612903212106997,32.9000004902482
NA,2022,1,0.700967726267634,17.9000002667308
NA,2023,1,2.18516124148042,28.7000004276633
NA,2024,1,-0.243870962290995,40.0000005960464
NA,1950,2,0.521428559773735,16.0000002384186
NA,1951,2,1.79214281708534,12.4000001847744
NA,1952,2,-0.709999984130263,47.8000007122755
NA,1953,2,-0.554642844745623,11.5000001713634
NA,1954,2,-7.0599998421967,4.60000006854534
NA,1955,2,-2.14821423769795,23.6000003516674
NA,1956,2,-10.3644825269564,25.2000003755093
NA,1957,2,2.06428566814533,32.9000004902482
NA,1958,2,1.3003571137919,29.0000004321337
NA,1959,2,-1.48964282384674,6.2000000923872
NA,1960,2,-1.68758616917606,18.100000269711
NA,1961,2,1.4899999666959,28.1000004187226
NA,1962,2,-1.83857138747615,40.8000006079674
NA,1963,2,-6.57428556733898,17.1000002548099
NA,1964,2,-1.99999995529652,16.400000244379
NA,1965,2,-4.03321419556492,13.4000001996756
NA,1966,2,4.10607133679358,29.1000004336238
NA,1967,2,0.287142850724714,19.1000002846122
NA,1968,2,0.0972413771368306,16.1000002399087
NA,1969,2,-2.67714279730405,35.5000005289912
NA,1970,2,-2.70285708244358,69.2000010311604
NA,1971,2,0.680714270499136,15.0000002235174
NA,1972,2,1.41172410637654,27.3000004068017
NA,1973,2,0.241428566032222,24.4000003635883
NA,1974,2,2.74428565294615,12.3000001832843
NA,1975,2,-0.933214264855321,2.20000003278255
NA,1976,2,-1.45172410548247,21.6000003218651
NA,1977,2,0.237857137540621,64.5000009611249
NA,1978,2,-3.01749993255362,12.900000192225
NA,1979,2,-1.61499996390194,34.0000005066395
NA,1980,2,0.328620682309928,15.0000002235174
NA,1981,2,-0.622499986086041,16.7000002488494
NA,1982,2,-2.3992856606575,1.50000002235174
NA,1983,2,-3.02464278953682,37.000000551343
NA,1984,2,-1.33793100457767,34.6000005155802
NA,1985,2,-5.44999987818301,23.9000003561378
NA,1986,2,-7.04714269962694,20.0000002980232
NA,1987,2,-1.4103571113332,32.4000004827976
NA,1988,2,0.838620670910539,36.8000005483627
NA,1989,2,2.74464279579531,10.6000001579523
