"Date","Year","Month","Temp","Prec"
NA,1950,1,-4.47612893220878,45.4000006765127
NA,1951,1,-1.02161288039098,27.8000004142523
NA,1952,1,-1.69806447817433,33.600000500679
NA,1953,1,-2.88870961285166,32.8000004887581
NA,1954,1,-6.77580630016183,55.6000008285046
NA,1955,1,-3.94612894405521,28.9000004306436
NA,1956,1,-2.07516124393911,17.3000002577901
NA,1957,1,-3.28806444263506,37.6000005602837
NA,1958,1,-3.10903218857223,32.3000004813075
NA,1959,1,-2.10999995283782,30.4000004529953
NA,1960,1,-3.49967734113095,40.0000005960464
NA,1961,1,-4.07193539285612,5.00000007450581
NA,1962,1,-2.32129027069576,46.2000006884336
NA,1963,1,-9.1912901171393,41.4000006169081
NA,1964,1,-6.74645146210828,7.00000010430813
NA,1965,1,-0.978387074905538,39.8000005930662
NA,1966,1,-5.77129019358225,27.5000004097819
NA,1967,1,-2.69516123008103,48.3000007197261
NA,1968,1,-4.08709668283982,66.5000009909272
NA,1969,1,-3.24967734671889,42.3000006303191
NA,1970,1,-4.05193539330315,3.1000000461936
NA,1971,1,-3.96774184679793,6.10000009089708
NA,1972,1,-4.26322571116109,17.2000002563
NA,1973,1,-2.24419349822546,21.6000003218651
NA,1974,1,0.553548374724004,45.1000006720424
NA,1975,1,1.50548383731756,35.300000526011
NA,1976,1,-0.795806433825243,94.9000014141202
NA,1977,1,-2.2419354337598,69.7000010386109
NA,1978,1,-1.48161287010918,23.2000003457069
NA,1979,1,-5.85258051434592,39.7000005915761
NA,1980,1,-5.36193536402237,12.2000001817942
NA,1981,1,-4.75870957105391,53.9000008031726
NA,1982,1,-5.70806438854385,52.6000007838011
NA,1983,1,1.86225802289142,81.1000012084842
NA,1984,1,-1.25580642354344,26.5000003948808
NA,1985,1,-8.13322562465985,35.4000005275011
NA,1986,1,-1.84612899099387,36.8000005483627
NA,1987,1,-7.01806435926307,66.7000009939075
NA,1988,1,0.92387094709181,20.1000002995133
NA,1989,1,-0.903870947538845,11.4000001698732
NA,1990,1,-0.782903208307201,4.40000006556511
NA,1991,1,-0.304838702863743,7.20000010728836
NA,1992,1,-0.975483849163978,37.6000005602837
NA,1993,1,0.225806446565736,37.900000564754
NA,1994,1,1.30161287413249,29.6000004410744
NA,1995,1,-2.31999994814396,45.8000006824732
NA,1996,1,-4.88903214878613,19.9000002965331
NA,1997,1,-4.61451602588979,6.70000009983778
NA,1998,1,-0.389354830006919,18.7000002786517
NA,1999,1,-0.735161273890445,23.3000003471971
NA,2000,1,-3.50387088942432,49.0000007301569
NA,2001,1,-2.74354832577369,29.5000004395843
NA,2002,1,-1.7490322189706,25.2000003755093
NA,2003,1,-2.9319354183371,49.100000731647
NA,2004,1,-4.35709667680485,76.7000011429191
NA,2005,1,-0.711290306682067,67.9000010117888
NA,2006,1,-6.23806437669742,48.0000007152557
NA,2007,1,3.06354831862113,49.3000007346272
NA,2008,1,0.725483854751914,35.0000005215406
NA,2009,1,-4.28903216219717,13.9000002071261
NA,2010,1,-4.83903214990372,63.3000009432435
NA,2011,1,-1.29516126137347,35.1000005230308
NA,2012,1,-0.28838709032824,88.4000013172626
NA,2013,1,-1.9019354413594,97.7000014558434
NA,2014,1,0.196774189150141,28.2000004202127
NA,2015,1,0.662258049713508,56.4000008404255
NA,2016,1,-1.59870964168541,38.1000005677342
NA,2017,1,-6.04193534882319,22.6000003367662
NA,2018,1,1.78903221807653,31.6000004708767
NA,2019,1,-2.03096769653982,75.7000011280179
NA,2020,1,0.142903222612316,17.5000002607703
NA,2021,1,-1.1809677155388,53.2000007927418
NA,2022,1,0.816129014016159,28.5000004246831
NA,2023,1,1.80387092742228,27.3000004068017
NA,2024,1,-0.571935471087213,40.2000005990267
NA,1950,2,0.0792857125135405,30.5000004544854
NA,1951,2,0.196071424188891,7.90000011771917
NA,1952,2,-1.92827581896864,57.4000008553267
NA,1953,2,-2.17607137993244,20.1000002995133
NA,1954,2,-8.39285695526217,11.1000001654029
NA,1955,2,-3.27428564109973,46.3000006899238
NA,1956,2,-11.9944824905231,35.1000005230308
NA,1957,2,2.0914285246815,64.2000009566545
NA,1958,2,0.506785702958171,60.0000008940697
NA,1959,2,-2.76642850959407,2.70000004023314
NA,1960,2,-2.52999994345009,28.2000004202127
NA,1961,2,1.62214282088514,66.0000009834766
NA,1962,2,-2.48535708730508,41.7000006213784
NA,1963,2,-7.62642840096461,16.1000002399087
NA,1964,2,-2.60172407977797,25.80000038445
NA,1965,2,-5.6460713023719,38.0000005662441
NA,1966,2,4.21857133427901,35.9000005349517
NA,1967,2,0.38607141994206,32.2000004798174
NA,1968,2,-0.355517233432881,20.2000003010035
NA,1969,2,-3.13071421573737,24.4000003635883
NA,1970,2,-2.25571423529514,98.1000014618039
NA,1971,2,-0.437499990221113,25.1000003740191
NA,1972,2,0.232413787908595,26.4000003933907
NA,1973,2,-0.499642845974969,24.3000003620982
NA,1974,2,2.16285709451352,19.9000002965331
NA,1975,2,-0.871785694799785,10.1000001505017
NA,1976,2,-1.26862066129929,21.2000003159046
NA,1977,2,0.576071415695229,67.6000010073185
NA,1978,2,-3.62499991897494,23.6000003516674
NA,1979,2,-1.46214282446142,23.4000003486872
NA,1980,2,1.146206870932,37.1000005528331
NA,1981,2,-1.55249996529892,21.3000003173947
NA,1982,2,-2.70285708244358,6.2000000923872
NA,1983,2,-4.16785704969828,41.300000615418
NA,1984,2,-2.13206891786179,25.80000038445
NA,1985,2,-5.8689284402478,29.9000004455447
NA,1986,2,-7.89178553789056,16.5000002458692
NA,1987,2,-1.89428567194513,58.4000008702278
NA,1988,2,0.18379309934018,46.7000006958842
NA,1989,2,2.23142852155226,34.3000005111098
NA,1990,2,3.29749992629513,60.30000089854
NA,1991,2,-4.5103570420428,12.5000001862645
NA,1992,2,0.971724116211307,26.2000003904104
NA,1993,2,-3.34142849674182,31.7000004723668
NA,1994,2,-1.05964283345799,7.30000010877848
NA,1995,2,3.13714278702225,30.5000004544854
NA,1996,2,-5.21655160753891,11.3000001683831
NA,1997,2,1.51821425177955,24.0000003576279
NA,1998,2,2.10999995283782,8.50000012665987
NA,1999,2,-2.3071428055742,84.3000012561679
NA,2000,2,1.97103443870257,46.1000006869435
NA,2001,2,0.261428565585188,14.7000002190471
NA,2002,2,3.47714277942266,47.7000007107854
NA,2003,2,-4.38857133047921,3.20000004768372
NA,2004,2,0.122758617945786,55.5000008270144
NA,2005,2,-3.83749991422519,62.7000009343028
NA,2006,2,-3.21071421394923,46.9000006988645
NA,2007,2,2.76357136680079,37.000000551343
NA,2008,2,1.95758616314109,14.600000217557
NA,2009,2,-1.68428567663899,82.9000012353063
NA,2010,2,-2.29964280574183,20.5000003054738
NA,2011,2,-1.99607138395576,5.90000008791685
NA,2012,2,-5.64103435667167,38.2000005692244
NA,2013,2,-1.68928567652724,47.0000007003546
NA,2014,2,1.3924999688752,10.5000001564622
NA,2015,2,-0.256785708546106,10.7000001594424
NA,2016,2,3.30413785718124,39.5000005885959
NA,2017,2,1.3164285420041,21.6000003218651
NA,2018,2,-3.67749991780147,16.7000002488494
NA,2019,2,1.51642853753375,25.2000003755093
NA,2020,2,3.69379302088557,57.9000008627772
NA,2021,2,0.15642856793212,28.400000423193
NA,2022,2,2.87785707853202,18.9000002816319
NA,2023,2,1.24714282926704,30.2000004500151
NA,2024,2,5.75034469905598,37.1000005528331
NA,1950,3,3.79967733442543,16.0000002384186
NA,1951,3,1.31161287390897,32.700000487268
NA,1952,3,0.156129028768309,46.6000006943941
NA,1953,3,3.05419348012055,11.5000001713634
NA,1954,3,3.14451605874685,17.0000002533197
NA,1955,3,-0.606451599347976,26.6000003963709
NA,1956,3,-0.261935478016253,40.9000006094575
NA,1957,3,4.81225795695378,52.1000007763505
NA,1958,3,-2.42741930058166,25.80000038445
NA,1959,3,4.29838700069775,17.4000002592802
NA,1960,3,2.1629031774618,69.3000010326505
NA,1961,3,4.84096763373142,54.1000008061528
NA,1962,3,-1.84806447482157,45.7000006809831
NA,1963,3,0.0916129011780985,46.9000006988645
NA,1964,3,-1.46193545119416,30.4000004529953
NA,1965,3,0.177419350873078,50.5000007525086
NA,1966,3,2.01258060017661,53.400000795722
NA,1967,3,4.1274192625837,56.800000846386
NA,1968,3,3.25580637883996,33.600000500679
NA,1969,3,-0.199999995529652,32.0000004768372
NA,1970,3,0.206129027650722,54.7000008150935
NA,1971,3,-0.56774192279385,25.4000003784895
NA,1972,3,4.48774183517502,17.4000002592802
NA,1973,3,2.66419348883773,26.6000003963709
NA,1974,3,5.82999986968935,7.20000010728836
NA,1975,3,3.31451605494705,40.6000006049871
NA,1976,3,-0.325806444330562,13.3000001981854
NA,1977,3,5.66709664752406,39.1000005826354
NA,1978,3,3.9290321702438,37.900000564754
NA,1979,3,3.61806443525899,113.600001692772
NA,1980,3,2.240645111208,41.5000006183982
NA,1981,3,5.75225793594314,49.100000731647
NA,1982,3,3.32225799025787,55.7000008299947
NA,1983,3,3.37999992445111,32.3000004813075
NA,1984,3,1.24483868185311,23.8000003546476
NA,1985,3,1.61806447996247,39.1000005826354
NA,1986,3,1.84419350716616,27.600000411272
NA,1987,3,-2.5641934910729,48.6000007241964
NA,1988,3,0.774516111720474,89.3000013306737
NA,1989,3,5.71225793683721,17.1000002548099
NA,1990,3,6.35193534189415,31.3000004664063
NA,1991,3,4.8351611822483,32.6000004857779
NA,1992,3,3.26322573351283,58.0000008642673
NA,1993,3,1.47516125735016,13.800000205636
NA,1994,3,5.65225793817832,55.9000008329749
NA,1995,3,2.0725805988355,50.3000007495284
NA,1996,3,-1.32999997027218,25.1000003740191
NA,1997,3,3.66451604712394,65.0000009685755
NA,1998,3,2.76774187362002,59.2000008821487
NA,1999,3,4.33903216107959,29.8000004440546
NA,2000,3,3.43548379417869,101.600001513958
NA,2001,3,4.09806442453015,64.0000009536743
NA,2002,3,4.14967732660232,72.300001077354
NA,2003,3,3.9580644276594,18.5000002756715
NA,2004,3,1.55354835237226,62.900000937283
NA,2005,3,0.955161268973062,18.4000002741814
NA,2006,3,0.161290318975526,90.2000013440847
NA,2007,3,4.86903214923316,52.8000007867813
NA,2008,3,3.14870960704021,71.0000010579824
NA,2009,3,2.98999993316829,78.6000011712313
NA,2010,3,2.53870962067477,32.0000004768372
NA,2011,3,3.73225798109366,39.3000005856156
NA,2012,3,5.5245160055497,16.3000002428889
NA,2013,3,-0.103225804144336,30.4000004529953
NA,2014,3,6.44741921072766,30.0000004470348
NA,2015,3,4.00870958781771,37.6000005602837
NA,2016,3,3.53419346939171,24.5000003650784
NA,2017,3,6.07903212218756,56.3000008389354
NA,2018,3,0.91451610859123,22.2000003308058
NA,2019,3,5.81387083779179,40.9000006094575
NA,2020,3,4.1887095837944,22.400000333786
NA,2021,3,2.75193542236042,21.6000003218651
NA,2022,3,3.33032250620665,14.0000002086163
NA,2023,3,5.11741924045547,24.9000003710389
NA,2024,3,6.97387081186377,30.8000004589558
NA,1950,4,7.20533317228158,32.0000004768372
NA,1951,4,6.45633318902304,22.7000003382564
NA,1952,4,9.83699978012592,28.3000004217029
NA,1953,4,8.21933314961692,21.6000003218651
NA,1954,4,4.37733323549231,55.100000821054
NA,1955,4,5.25633321584513,102.000001519918
NA,1956,4,5.6646665400515,86.5000012889504
NA,1957,4,6.65866651783387,41.8000006228685
NA,1958,4,4.4489999005571,48.4000007212162
NA,1959,4,8.07366648620615,32.0000004768372
NA,1960,4,6.73999984934926,36.7000005468726
NA,1961,4,10.6396664288516,58.4000008702278
NA,1962,4,8.31266648086409,23.8000003546476
NA,1963,4,8.08099981937557,38.3000005707145
NA,1964,4,8.33766648030529,73.3000010922551
NA,1965,4,6.02499986533076,80.6000012010336
NA,1966,4,8.6409998068586,56.4000008404255
NA,1967,4,6.34066652494172,47.400000706315
NA,1968,4,8.51633314297845,43.8000006526709
NA,1969,4,6.65899985115975,35.9000005349517
NA,1970,4,5.40866654577355,38.6000005751848
NA,1971,4,7.82866649168233,51.5000007674098
NA,1972,4,6.63199985176325,97.1000014469028
NA,1973,4,4.83799989186227,42.5000006332994
NA,1974,4,6.98599984385073,8.80000013113022
NA,1975,4,6.43466652284066,36.1000005379319
NA,1976,4,6.72133318309983,21.0000003129244
NA,1977,4,5.47999987751245,61.7000009194016
NA,1978,4,6.25733319347103,32.1000004783273
NA,1979,4,5.49233321057012,57.8000008612871
NA,1980,4,4.26866657125453,105.500001572073
NA,1981,4,6.7373331827422,25.2000003755093
NA,1982,4,5.00133322154482,20.9000003114343
NA,1983,4,8.89766646778832,83.3000012412667
NA,1984,4,5.92399986758828,49.6000007390976
NA,1985,4,6.76966651535283,41.8000006228685
NA,1986,4,8.50066647666196,34.8000005185604
NA,1987,4,8.26466648193697,35.2000005245209
NA,1988,4,7.50999983213842,29.1000004336238
NA,1989,4,7.97199982181191,58.600000873208
NA,1990,4,6.02133319874605,59.1000008806586
NA,1991,4,5.9063332013165,43.0000006407499
NA,1992,4,6.81566651432465,37.7000005617738
NA,1993,4,8.27066648180286,30.5000004544854
NA,1994,4,7.20099983904511,51.1000007614493
NA,1995,4,7.93733315592011,68.6000010222197
NA,1996,4,6.83233318061878,66.2000009864569
NA,1997,4,4.46933323343595,78.400001168251
NA,1998,4,8.69466647232572,29.8000004440546
NA,1999,4,8.10699981879443,40.3000006005168
NA,2000,4,10.6873330944528,9.40000014007092
NA,2001,4,6.46766652210305,79.1000011786819
NA,2002,4,7.38699983488768,23.9000003561378
NA,2003,4,6.84299984704703,22.3000003322959
NA,2004,4,8.35433314659943,59.6000008881092
NA,2005,4,8.84499980229884,61.7000009194016
NA,2006,4,7.99666648792724,73.7000010982156
