"Date","Year","Month","Temp","Prec"
NA,1950,1,-3.89387088070714,38.4000005722046
NA,1951,1,-0.536129020274647,21.500000320375
NA,1952,1,-1.09290320137816,27.2000004053116
NA,1953,1,-2.13709672642571,23.9000003561378
NA,1954,1,-5.89032244898619,42.6000006347895
NA,1955,1,-3.41612895590163,24.2000003606081
NA,1956,1,-1.27612900373436,16.2000002413988
NA,1957,1,-2.90290316092151,22.5000003352761
NA,1958,1,-2.6248386510077,37.000000551343
NA,1959,1,-1.46806448331523,18.0000002682209
NA,1960,1,-2.98161283658156,32.6000004857779
NA,1961,1,-3.95580636319374,4.90000007301569
NA,1962,1,-1.69419351051892,41.5000006183982
NA,1963,1,-8.55354819591007,35.8000005334616
NA,1964,1,-6.48935469366129,4.80000007152557
NA,1965,1,-0.262580639292156,31.2000004649162
NA,1966,1,-5.33580633234834,22.6000003367662
NA,1967,1,-1.91516124751539,38.7000005766749
NA,1968,1,-3.2364515405629,52.0000007748604
NA,1969,1,-2.72096768111712,34.1000005081296
NA,1970,1,-3.62483862865596,3.90000005811453
NA,1971,1,-4.22967732481418,4.90000007301569
NA,1972,1,-3.74064507768039,10.8000001609325
NA,1973,1,-1.87838705478897,20.0000002980232
NA,1974,1,1.28709674542469,41.5000006183982
NA,1975,1,2.15645156470278,28.400000423193
NA,1976,1,0.134838706663539,79.7000011876225
NA,1977,1,-1.72580641303812,60.4000009000301
NA,1978,1,-0.6906451458532,19.1000002846122
NA,1979,1,-5.43483858819931,31.4000004678965
NA,1980,1,-4.66870957306556,13.800000205636
NA,1981,1,-4.27806442050684,37.900000564754
NA,1982,1,-5.28741923665568,49.3000007346272
NA,1983,1,2.78967735700069,52.2000007778406
NA,1984,1,-0.552258052172199,20.3000003024936
NA,1985,1,-7.76838692313721,30.2000004500151
NA,1986,1,-0.937419333885754,29.300000436604
NA,1987,1,-6.67935468941446,60.4000009000301
NA,1988,1,1.42935480676111,21.1000003144145
NA,1989,1,-0.365483862798541,7.50000011175871
NA,1990,1,-0.472903215236241,3.1000000461936
NA,1991,1,0.268064510137323,8.30000012367964
NA,1992,1,-0.0280645155017414,28.5000004246831
NA,1993,1,0.720322564544697,36.9000005498528
NA,1994,1,2.01612898719407,21.0000003129244
NA,1995,1,-1.40741932338044,30.9000004604459
NA,1996,1,-4.44870957798295,25.6000003814697
NA,1997,1,-4.4964515123997,5.30000007897615
NA,1998,1,-0.158387093233966,15.9000002369285
NA,1999,1,-0.259677413550596,19.9000002965331
NA,2000,1,-3.03419348056759,38.8000005781651
NA,2001,1,-2.38806446275163,31.5000004693866
NA,2002,1,-1.2745161005446,13.9000002071261
NA,2003,1,-2.36419349554325,45.0000006705523
NA,2004,1,-3.70290314304011,58.7000008746982
NA,2005,1,-0.031612902519203,44.2000006586313
NA,2006,1,-6.22161276416192,54.1000008061528
NA,2007,1,3.82290314035791,44.2000006586313
NA,2008,1,1.36451609853295,28.2000004202127
NA,2009,1,-3.75290314192253,13.0000001937151
NA,2010,1,-4.20677409951966,54.9000008180737
NA,2011,1,-0.839677400586586,31.1000004634261
NA,2012,1,0.733870951338641,69.1000010296702
NA,2013,1,-1.01709675145966,91.9000013694167
NA,2014,1,0.560967729396878,27.8000004142523
NA,2015,1,1.59516125466795,43.3000006452203
NA,2016,1,-0.965483849387496,35.6000005304813
NA,2017,1,-5.47451600666729,17.3000002577901
NA,2018,1,2.57645155531504,28.400000423193
NA,2019,1,-0.993870945527188,60.9000009074807
NA,2020,1,0.670967726938186,19.800000295043
NA,2021,1,-0.665161275455067,47.8000007122755
NA,2022,1,1.46806448331523,19.4000002890825
NA,2023,1,2.33870962514512,25.80000038445
NA,2024,1,-0.217096769341057,37.3000005558133
NA,1950,2,0.789642839492964,27.0000004023314
NA,1951,2,0.786428553850523,11.9000001773238
NA,1952,2,-1.13896549178352,47.3000007048249
NA,1953,2,-1.51857139462871,17.6000002622604
NA,1954,2,-7.49285697537873,9.40000014007092
NA,1955,2,-2.64928565506956,43.7000006511807
NA,1956,2,-11.6975859454351,23.0000003427267
NA,1957,2,2.63607136965064,48.7000007256866
NA,1958,2,1.31214282781418,45.1000006720424
NA,1959,2,-2.51607137233285,6.60000009834766
NA,1960,2,-2.27862063872403,35.2000005245209
NA,1961,2,2.29142852021115,40.9000006094575
NA,1962,2,-1.62178567803598,37.7000005617738
NA,1963,2,-7.69142839951175,13.7000002041459
NA,1964,2,-1.86379306178925,17.0000002533197
NA,1965,2,-4.84357132030917,38.9000005796552
NA,1966,2,4.74964275098007,35.4000005275011
NA,1967,2,0.841428552621177,28.6000004261732
NA,1968,2,0.207931029835138,17.8000002652407
NA,1969,2,-2.44357137395335,24.4000003635883
NA,1970,2,-1.33999997004867,85.300001271069
NA,1971,2,-0.0196428567038051,20.5000003054738
NA,1972,2,0.596206883225462,23.3000003471971
NA,1973,2,0.227142852065819,26.1000003889203
NA,1974,2,2.61714279864516,19.9000002965331
NA,1975,2,-0.569999987259507,9.3000001385808
NA,1976,2,-0.715517225386254,15.6000002324581
NA,1977,2,1.36357139809323,60.8000009059906
NA,1978,2,-3.19499992858618,23.2000003457069
NA,1979,2,-0.803214267761047,21.2000003159046
NA,1980,2,1.49620686310889,27.7000004127622
NA,1981,2,-0.985357120832694,13.1000001952052
NA,1982,2,-2.09714281026806,3.7000000551343
NA,1983,2,-3.68499991763383,36.3000005409122
NA,1984,2,-1.50586203530688,27.7000004127622
NA,1985,2,-5.47607130617169,21.7000003233552
NA,1986,2,-7.46571411884257,15.9000002369285
NA,1987,2,-1.77749996026978,49.0000007301569
NA,1988,2,0.96999997831881,41.4000006169081
NA,1989,2,2.82607136540381,24.5000003650784
NA,1990,2,3.54357134936643,52.0000007748604
NA,1991,2,-4.37607133075861,12.0000001788139
NA,1992,2,1.40551720996355,30.5000004544854
NA,1993,2,-3.52999992109835,33.9000005051494
NA,1994,2,-0.588928558264992,7.20000010728836
NA,1995,2,3.84214277126427,28.2000004202127
NA,1996,2,-4.52999989874661,10.0000001490116
NA,1997,2,1.98464281278263,20.700000308454
NA,1998,2,2.12357138110591,7.30000010877848
NA,1999,2,-1.63607139200238,65.9000009819865
NA,2000,2,2.64999994076788,33.5000004991889
NA,2001,2,0.688571413180658,12.8000001907349
NA,2002,2,4.1139284794751,43.10000064224
NA,2003,2,-4.23821419098281,2.30000003427267
NA,2004,2,0.967586185269315,52.1000007763505
NA,2005,2,-3.41999992355704,53.5000007972121
NA,2006,2,-2.82035707981725,28.400000423193
NA,2007,2,3.42714278054024,22.6000003367662
NA,2008,2,2.10517236673883,8.90000013262033
NA,2009,2,-0.950357121615005,63.5000009462237
NA,2010,2,-1.61499996390194,21.9000003263354
NA,2011,2,-1.59178567870653,6.40000009536743
NA,2012,2,-5.03482747366973,22.8000003397465
NA,2013,2,-1.01428569161466,38.8000005781651
NA,2014,2,1.7835713887055,9.40000014007092
NA,2015,2,0.145357139608158,9.40000014007092
