"Date","Year","Month","Temp","Prec"
NA,1950,1,-5.41612891119815,100.500001497567
NA,1951,1,-1.3351612604794,122.000001817942
NA,1952,1,-3.07838702796688,105.700001575053
NA,1953,1,-4.2803224849725,113.900001697242
NA,1954,1,-10.0380642917608,58.3000008687377
NA,1955,1,-4.35032248340787,46.6000006943941
NA,1956,1,-3.50677411516588,40.6000006049871
NA,1957,1,-3.18193541274917,56.2000008374453
NA,1958,1,-4.20032248676064,63.1000009402633
NA,1959,1,-3.81774185015069,85.9000012800097
NA,1960,1,-4.53645151150563,61.5000009164214
NA,1961,1,-4.5419353823508,35.5000005289912
NA,1962,1,-2.89548380624863,85.1000012680888
NA,1963,1,-11.3787094230854,43.2000006437302
NA,1964,1,-6.74419339764262,26.1000003889203
NA,1965,1,-2.93451606344071,83.8000012487173
NA,1966,1,-7.29774177236663,78.400001168251
NA,1967,1,-5.16645149742403,82.6000012308359
NA,1968,1,-6.08935470260199,117.400001749396
NA,1969,1,-4.63967731564997,43.8000006526709
NA,1970,1,-4.80548376355681,44.2000006586313
NA,1971,1,-3.0070967069797,16.3000002428889
NA,1972,1,-4.90677408387344,37.900000564754
NA,1973,1,-2.65709671480281,43.4000006467104
NA,1974,1,-1.09612900775767,146.900002188981
NA,1975,1,0.175483867045372,65.0000009685755
NA,1976,1,-4.47419344838108,176.800002634525
NA,1977,1,-2.41838704271903,74.8000011146069
NA,1978,1,-2.89451606433478,41.4000006169081
NA,1979,1,-6.42258050160543,108.500001616776
NA,1980,1,-6.19354824866018,48.4000007212162
NA,1981,1,-5.64935471243676,76.1000011339784
NA,1982,1,-5.41677407247405,83.8000012487173
NA,1983,1,-0.319677412209492,128.200001910329
NA,1984,1,-2.98580638487493,81.4000012129545
NA,1985,1,-8.81548367392632,49.100000731647
NA,1986,1,-4.00161281378279,103.800001546741
NA,1987,1,-10.7358062116489,93.900001399219
NA,1988,1,0.129354835818371,65.5000009760261
NA,1989,1,-2.49225800880982,40.2000005990267
NA,1990,1,-1.70806447795082,27.5000004097819
NA,1991,1,-2.41354833314976,25.5000003799796
NA,1992,1,-2.61322574804146,92.5000013783574
NA,1993,1,-2.55741929767593,59.6000008881092
NA,1994,1,-0.140967738784609,107.100001595914
NA,1995,1,-3.96870958871178,122.600001826882
NA,1996,1,-5.09032246686759,23.9000003561378
NA,1997,1,-4.33290312895852,23.4000003486872
NA,1998,1,-1.1519354581232,65.4000009745359
NA,1999,1,-1.81193544337105,43.4000006467104
NA,2000,1,-4.79387086059057,96.7000014409423
NA,2001,1,-2.77193542191338,68.1000010147691
NA,2002,1,-3.23096766971773,47.8000007122755
NA,2003,1,-4.64387086394333,87.2000012993813
NA,2004,1,-5.97193535038781,93.4000013917685
NA,2005,1,-3.08064509243254,156.700002335012
NA,2006,1,-6.48935469366129,60.8000009059906
NA,2007,1,0.606451599347976,136.000002026558
NA,2008,1,-0.172258060665861,94.0000014007092
NA,2009,1,-4.1419353912915,51.1000007614493
NA,2010,1,-6.31580631044363,59.6000008881092
NA,2011,1,-2.48677413796465,58.2000008672476
NA,2012,1,-3.09032251157107,212.500003166497
NA,2013,1,-4.16161281020651,121.000001803041
NA,2014,1,-0.310322573708911,30.2000004500151
NA,2015,1,-1.30903222880537,110.000001639128
NA,2016,1,-3.37129024722643,71.8000010699034
NA,2017,1,-6.77903210654134,48.1000007167459
NA,2018,1,-0.104193546058189,39.5000005885959
NA,2019,1,-4.68193537922155,164.300002448261
NA,2020,1,-0.943870946644775,31.6000004708767
NA,2021,1,-2.92838703131964,108.900001622736
NA,2022,1,-2.102258017527,58.4000008702278
NA,2023,1,0.42354837762973,103.2000015378
NA,2024,1,-1.82419350761319,81.0000012069941
NA,1950,2,-0.895357122844351,61.8000009208918
NA,1951,2,-0.121428568714431,39.3000005856156
NA,1952,2,-4.34655162698493,206.100003071129
NA,1953,2,-3.71892848830404,59.5000008866191
NA,1954,2,-9.08249979699031,3.20000004768372
NA,1955,2,-4.71821418025398,59.5000008866191
NA,1956,2,-12.8355169544831,50.0000007450581
NA,1957,2,-0.0274999993853271,89.5000013336539
NA,1958,2,-1.38571425474116,68.3000010177493
NA,1959,2,-3.72607134528724,21.6000003218651
NA,1960,2,-4.47241369313721,42.8000006377697
NA,1961,2,-0.794999982230365,100.700001500547
NA,1962,2,-4.9649998890236,102.100001521409
NA,1963,2,-8.50071409570852,29.5000004395843
NA,1964,2,-4.58620679404201,77.8000011593103
NA,1965,2,-8.18392838850351,91.4000013619661
NA,1966,2,2.10607138149706,105.700001575053
NA,1967,2,-2.29714280579771,81.9000012204051
NA,1968,2,-1.66172410078861,28.8000004291534
NA,1969,2,-3.69607134595779,49.2000007331371
NA,1970,2,-5.47499987762421,77.0000011473894
NA,1971,2,-2.4135713746239,106.500001586974
NA,1972,2,0.424482749132761,21.3000003173947
NA,1973,2,-2.1514285233404,126.700001887977
NA,1974,2,0.897857122788472,48.6000007241964
NA,1975,2,-3.0857142167432,19.0000002831221
NA,1976,2,-2.871724073743,5.40000008046627
NA,1977,2,-1.02357140569282,183.500002734363
NA,1978,2,-3.97642848254847,16.9000002518296
NA,1979,2,-3.59571420534381,51.9000007733703
NA,1980,2,-1.81931030416283,55.8000008314848
NA,1981,2,-3.55035706350048,65.3000009730458
NA,1982,2,-4.02214276724096,26.4000003933907
NA,1983,2,-5.13821417086625,92.3000013753772
NA,1984,2,-3.73931026124749,87.3000013008714
NA,1985,2,-8.97571408509144,91.300001360476
NA,1986,2,-9.14285693849836,26.9000004008412
NA,1987,2,-2.45714280222143,52.6000007838011
NA,1988,2,-1.29172410905875,112.700001679361
NA,1989,2,0.11678571167535,80.2000011950731
NA,1990,2,1.74964281803529,73.8000010997057
NA,1991,2,-5.94142843862729,35.8000005334616
NA,1992,2,-1.47793100144843,111.000001654029
NA,1993,2,-3.45642849417137,88.8000013232231
NA,1994,2,-2.65464279780697,16.8000002503395
NA,1995,2,0.700357127202941,71.1000010594726
NA,1996,2,-6.40551709820484,58.4000008702278
NA,1997,2,-1.13642854602741,67.3000010028481
NA,1998,2,0.804642839157688,52.6000007838011
NA,1999,2,-3.94607134036986,128.600001916289
NA,2000,2,-0.881724118222964,79.0000011771917
NA,2001,2,-2.10499995294958,89.600001335144
NA,2002,2,1.29499997105449,93.2000013887882
NA,2003,2,-5.8957141539348,24.9000003710389
NA,2004,2,-2.90862062464243,132.600001975894
NA,2005,2,-5.10964274293344,105.600001573563
NA,2006,2,-5.124285599749,102.600001528859
NA,2007,2,0.196071424188891,57.1000008508563
NA,2008,2,-0.280344821320012,63.4000009447336
NA,2009,2,-3.12785707294409,139.700002081692
NA,2010,2,-2.9621427909338,44.6000006645918
NA,2011,2,-3.85678562807984,14.3000002130866
NA,2012,2,-8.11448257724787,98.8000014722347
NA,2013,2,-2.98249993333593,80.0000011920929
NA,2014,2,1.69285710501884,35.9000005349517
NA,2015,2,-1.71857139015836,75.0000011175871
NA,2016,2,1.38551721041059,125.100001864135
NA,2017,2,-0.0921428550833038,48.4000007212162
NA,2018,2,-5.64214273103114,31.3000004664063
NA,2019,2,0.209642852456974,43.10000064224
NA,2020,2,1.10482756151208,113.600001692772
NA,2021,2,-1.68892853367808,54.0000008046627
NA,2022,2,0.247142851618784,77.4000011533499
NA,2023,2,-1.3235713989873,80.0000011920929
NA,2024,2,4.60586196601648,65.7000009790063
NA,1950,3,0.891290302658754,8.80000013113022
NA,1951,3,-0.569032245345654,78.7000011727214
NA,1952,3,-4.65903215392703,97.300001449883
NA,1953,3,0.216451608065155,75.9000011309981
NA,1954,3,1.26741932650968,30.9000004604459
NA,1955,3,-2.56258058788315,60.5000009015203
NA,1956,3,-1.7787096376621,82.3000012263656
NA,1957,3,1.80838705635359,59.1000008806586
NA,1958,3,-4.65354828308186,110.900001652539
NA,1959,3,3.04967735118924,35.9000005349517
NA,1960,3,1.07032255672159,21.4000003188848
NA,1961,3,2.34129027024873,92.3000013753772
NA,1962,3,-3.65129024096795,117.900001756847
NA,1963,3,-2.12903221047694,36.8000005483627
NA,1964,3,-3.21677412164788,40.1000005975366
NA,1965,3,-0.54935482643064,45.4000006765127
NA,1966,3,-0.388709668731016,114.100001700222
