"Date","Year","Month","Temp","Prec"
NA,1950,1,-2.5622580072452,67.3000010028481
NA,1951,1,-1.95451608534542,52.500000782311
NA,1952,1,-3.35419347341503,77.7000011578202
NA,1953,1,-4.38129022465117,70.7000010535121
NA,1954,1,-8.96774173503922,38.1000005677342
NA,1955,1,-5.18290310995954,52.8000007867813
NA,1956,1,-3.8670966877572,42.200000628829
NA,1957,1,-3.85290313968735,19.5000002905726
NA,1958,1,-4.12096764982468,75.800001129508
NA,1959,1,-3.89838700963845,46.0000006854534
NA,1960,1,-4.6183869935452,54.9000008180737
NA,1961,1,-4.88258053602711,23.0000003427267
NA,1962,1,-3.17870960636966,49.4000007361174
NA,1963,1,-10.8896771759516,40.9000006094575
NA,1964,1,-6.43935469477888,11.6000001728535
NA,1965,1,-3.15483863916128,82.6000012308359
NA,1966,1,-7.65548369985434,45.2000006735325
NA,1967,1,-5.17516117464871,51.8000007718801
NA,1968,1,-5.56612890784539,64.7000009641051
NA,1969,1,-4.91967730939148,32.4000004827976
NA,1970,1,-5.42193536268127,30.4000004529953
NA,1971,1,-2.57645155531504,28.1000004187226
NA,1972,1,-5.5693547142249,38.8000005781651
NA,1973,1,-3.04225799651636,18.9000002816319
NA,1974,1,-1.30580642242585,43.7000006511807
NA,1975,1,0.492903214789206,23.2000003457069
NA,1976,1,-3.96096765340096,135.500002019107
NA,1977,1,-3.07322573775966,64.0000009536743
NA,1978,1,-2.96709670787377,29.2000004351139
NA,1979,1,-6.93290307084399,46.3000006899238
NA,1980,1,-6.85193533071828,32.8000004887581
NA,1981,1,-5.54806439212013,60.9000009074807
NA,1982,1,-5.34903213850433,55.6000008285046
NA,1983,1,-0.211290317857938,62.2000009268522
NA,1984,1,-3.23870960502855,38.5000005736947
NA,1985,1,-8.73387077252471,38.2000005692244
NA,1986,1,-3.87967733263729,72.8000010848045
NA,1987,1,-10.2916126731903,76.2000011354685
NA,1988,1,-0.278064509913806,47.400000706315
NA,1989,1,-1.64838705992987,15.0000002235174
NA,1990,1,-1.25193545588803,7.40000011026859
NA,1991,1,-1.9019354413594,19.3000002875924
NA,1992,1,-1.54129028813012,32.2000004798174
NA,1993,1,-1.76967737979947,41.7000006213784
NA,1994,1,0.345806443883527,62.7000009343028
NA,1995,1,-3.52322572770138,92.0000013709068
NA,1996,1,-5.94870954445533,18.4000002741814
NA,1997,1,-5.17967730358003,22.7000003382564
NA,1998,1,-0.884193528623831,52.8000007867813
NA,1999,1,-1.54806448152709,31.7000004723668
NA,2000,1,-4.46903215817386,62.000000923872
NA,2001,1,-2.07612898585296,51.3000007644296
NA,2002,1,-2.29999994859099,26.9000004008412
NA,2003,1,-4.02451603907731,56.4000008404255
NA,2004,1,-5.46354826497695,53.7000008001924
NA,2005,1,-2.39999994635582,78.7000011727214
NA,2006,1,-6.2296772801107,36.9000005498528
NA,2007,1,1.13451610367385,91.7000013664365
NA,2008,1,-0.329999992623925,40.9000006094575
NA,2009,1,-4.76580634508883,33.2000004947186
NA,2010,1,-6.51709662852508,65.2000009715557
NA,2011,1,-2.27999994903803,36.4000005424023
NA,2012,1,-2.90903219304258,93.2000013887882
NA,2013,1,-4.11387087578975,59.0000008791685
NA,2014,1,-1.06838707289388,31.5000004693866
NA,2015,1,-1.22870964995555,72.1000010743737
NA,2016,1,-3.38903218231374,33.1000004932284
NA,2017,1,-6.52903211212927,27.9000004157424
NA,2018,1,-0.510322569238563,61.4000009149313
NA,2019,1,-4.17161280998299,67.3000010028481
NA,2020,1,-1.08774191117094,23.3000003471971
NA,2021,1,-3.08419347945,54.7000008150935
NA,2022,1,-1.81741931421622,37.7000005617738
NA,2023,1,0.109677416903357,61.6000009179115
NA,2024,1,-2.06935479245599,70.4000010490417
NA,1950,2,-1.00035712049742,30.6000004559755
NA,1951,2,-0.96749997837469,32.700000487268
NA,1952,2,-3.99172404870905,113.200001686811
NA,1953,2,-3.43142849473017,44.800000667572
NA,1954,2,-8.76535694693614,7.40000011026859
NA,1955,2,-5.06464274393927,39.2000005841255
NA,1956,2,-12.2882755874046,45.600000679493
NA,1957,2,-0.246785708769624,38.6000005751848
NA,1958,2,-1.58999996446073,71.6000010669231
NA,1959,2,-3.52357134981347,10.6000001579523
NA,1960,2,-4.19793094065169,28.5000004246831
NA,1961,2,-0.423214276254709,40.4000006020069
NA,1962,2,-4.76107132215319,64.3000009581447
NA,1963,2,-7.40964269152443,23.9000003561378
NA,1964,2,-4.73172403216876,42.5000006332994
NA,1965,2,-7.72392839878531,57.4000008553267
NA,1966,2,1.88214281507369,60.5000009015203
NA,1967,2,-1.88178567222453,56.5000008419156
NA,1968,2,-1.82172409721233,28.6000004261732
NA,1969,2,-4.14607133589951,40.9000006094575
NA,1970,2,-5.47428559192589,88.3000013157725
NA,1971,2,-2.04357138289405,57.9000008627772
NA,1972,2,0.182068961447683,19.4000002890825
NA,1973,2,-2.41214280322726,72.9000010862947
NA,1974,2,0.823214267314013,41.2000006139278
NA,1975,2,-2.43857137406511,32.4000004827976
NA,1976,2,-2.77344821387067,8.50000012665987
NA,1977,2,-1.10749997524545,90.3000013455749
NA,1978,2,-4.58428561181894,15.8000002354383
NA,1979,2,-3.87071419919708,39.5000005885959
NA,1980,2,-1.85931030326876,36.1000005379319
NA,1981,2,-3.61678563344425,39.600000590086
NA,1982,2,-4.22214276277061,7.80000011622906
NA,1983,2,-5.16964274159233,43.6000006496906
NA,1984,2,-3.69241371057157,56.1000008359551
NA,1985,2,-8.11178553297317,41.2000006139278
NA,1986,2,-9.46964264547985,19.7000002935529
NA,1987,2,-2.55928565708122,30.5000004544854
NA,1988,2,-1.23034480008586,67.9000010117888
NA,1989,2,0.468571418098041,28.9000004306436
NA,1990,2,2.46035708786388,52.500000782311
NA,1991,2,-5.44249987835065,15.2000002264977
NA,1992,2,-0.302413786343973,47.1000007018447
NA,1993,2,-2.83107136529205,54.2000008076429
NA,1994,2,-2.88892850685599,19.6000002920628
NA,1995,2,0.966428549827209,39.3000005856156
NA,1996,2,-6.41758606345232,52.2000007778406
