"Date","Year","Month","Temp","Prec"
NA,1950,1,-3.12032251090052,31.7000004723668
NA,1951,1,0.403870958714716,21.8000003248453
NA,1952,1,-0.266774187585519,28.5000004246831
NA,1953,1,-1.70999996177852,31.000000461936
NA,1954,1,-5.32870955831341,22.3000003322959
NA,1955,1,-3.42967734269557,26.6000003963709
NA,1956,1,-1.12451610389736,20.700000308454
NA,1957,1,-1.3819354529823,16.1000002399087
NA,1958,1,-2.38612897892392,38.2000005692244
NA,1959,1,-0.841935465052243,13.7000002041459
NA,1960,1,-2.59612897423006,37.6000005602837
NA,1961,1,-2.96483864340811,8.60000012814999
NA,1962,1,-0.105806449247945,17.2000002563
NA,1963,1,-8.28129013747938,13.9000002071261
NA,1964,1,-5.4032256856801,10.7000001594424
NA,1965,1,0.401290313611108,36.7000005468726
NA,1966,1,-4.51645151195267,13.0000001937151
NA,1967,1,-1.5038709341278,24.9000003710389
NA,1968,1,-2.68161284328709,40.7000006064773
NA,1969,1,-1.92612898920573,24.7000003680587
NA,1970,1,-3.56870959765248,10.6000001579523
NA,1971,1,-4.75161279701898,7.10000010579824
NA,1972,1,-3.71032249771299,20.3000003024936
NA,1973,1,-1.65580641460274,10.7000001594424
NA,1974,1,1.58741931935712,16.9000002518296
NA,1975,1,2.53774187876092,18.2000002712011
NA,1976,1,0.044516128037245,51.2000007629395
NA,1977,1,-1.72548383240017,41.2000006139278
NA,1978,1,-0.396774184679793,22.7000003382564
NA,1979,1,-5.85354825625977,26.6000003963709
NA,1980,1,-5.12354827257654,23.4000003486872
NA,1981,1,-3.6383870154499,34.0000005066395
NA,1982,1,-5.8929030940898,23.5000003501773
NA,1983,1,2.91999993473291,26.0000003874302
NA,1984,1,-0.447741925476059,21.2000003159046
NA,1985,1,-7.42612886627115,20.2000003010035
NA,1986,1,-0.821935465499278,28.8000004291534
NA,1987,1,-7.55548370208952,51.8000007718801
NA,1988,1,1.63709673760158,25.1000003740191
NA,1989,1,0.474193537788045,5.50000008195639
NA,1990,1,0.321612896037198,10.6000001579523
NA,1991,1,0.41419353912915,3.90000005811453
NA,1992,1,0.709354822854361,17.2000002563
NA,1993,1,0.673548372041795,24.2000003606081
NA,1994,1,2.12580640409743,19.5000002905726
NA,1995,1,-1.35290319556671,37.900000564754
