"Date","Year","Month","Temp","Prec"
NA,1950,1,-3.1770967031799,36.5000005438924
NA,1951,1,0.103225804144336,38.0000005662441
NA,1952,1,-1.17322578022797,57.2000008523464
NA,1953,1,-2.46516123522193,36.6000005453825
NA,1954,1,-6.11387083108627,35.0000005215406
NA,1955,1,-3.72322572323103,41.0000006109476
NA,1956,1,-1.65096770503348,29.8000004440546
NA,1957,1,-2.01322576145251,31.000000461936
NA,1958,1,-2.5022580085863,62.3000009283423
NA,1959,1,-1.20225803764357,32.2000004798174
NA,1960,1,-2.75451606746402,38.9000005796552
NA,1961,1,-3.07290315712171,22.7000003382564
NA,1962,1,-0.519354827101192,26.3000003919005
NA,1963,1,-8.65580625814055,18.5000002756715
NA,1964,1,-5.61967729374526,19.5000002905726
NA,1965,1,-0.259677413550596,44.3000006601214
NA,1966,1,-4.75709666786415,17.4000002592802
NA,1967,1,-2.02193543867719,27.3000004068017
NA,1968,1,-3.21903218611354,49.9000007435679
NA,1969,1,-2.14225801663293,22.8000003397465
NA,1970,1,-4.29838700069775,21.8000003248453
NA,1971,1,-5.13774182064639,18.3000002726912
NA,1972,1,-3.97645152402261,7.70000011473894
NA,1973,1,-2.11612898495889,11.7000001743436
NA,1974,1,0.943870946644775,26.8000003993511
NA,1975,1,1.67064512394849,25.1000003740191
NA,1976,1,-0.314838702640226,75.3000011220574
NA,1977,1,-2.20709672486109,21.500000320375
NA,1978,1,-1.47161287033269,32.1000004783273
NA,1979,1,-6.27064502113048,29.4000004380941
NA,1980,1,-5.02806440374303,31.6000004708767
NA,1981,1,-4.55290312404113,55.4000008255243
NA,1982,1,-5.8006450316358,48.200000718236
NA,1983,1,2.22870962760381,64.0000009536743
NA,1984,1,-1.41419351677741,37.900000564754
NA,1985,1,-7.66451595771697,25.1000003740191
NA,1986,1,-1.74290318684953,64.8000009655952
NA,1987,1,-7.56774176633166,53.9000008031726
NA,1988,1,0.753225789615704,31.2000004649162
NA,1989,1,-0.0774193531082523,6.70000009983778
NA,1990,1,-0.564193535776388,24.7000003680587
NA,1991,1,-0.22419354337598,14.9000002220273
NA,1992,1,-0.0996774171268748,27.9000004157424
NA,1993,1,-0.394838700852086,42.0000006258488
NA,1994,1,1.33193545409989,33.1000004932284
NA,1995,1,-2.33806446386922,77.4000011533499
NA,1996,1,-4.78548376400384,7.80000011622906
NA,1997,1,-5.0329031133123,15.6000002324581
NA,1998,1,-0.206774188926624,25.000000372529
NA,1999,1,-0.295483864363163,38.6000005751848
NA,2000,1,-1.41129029103585,29.5000004395843
NA,2001,1,-2.13161285558055,45.4000006765127
NA,2002,1,-1.5499999653548,19.9000002965331
NA,2003,1,-2.00806447124529,43.3000006452203
NA,2004,1,-3.02967735163627,57.9000008627772
NA,2005,1,-0.478387086081409,57.1000008508563
NA,2006,1,-5.30806439748454,12.3000001832843
NA,2007,1,3.02516122270496,62.5000009313226
NA,2008,1,1.30096771285659,21.7000003233552
NA,2009,1,-4.51935473769422,18.100000269711
NA,2010,1,-4.61451602588979,33.5000004991889
NA,2011,1,-1.13870965196721,38.2000005692244
NA,2012,1,0.531935471981283,60.6000009030104
NA,2013,1,-0.957741914076671,23.2000003457069
NA,2014,1,0.26387096184396,17.1000002548099
NA,2015,1,0.88387094798588,39.600000590086
NA,2016,1,-1.04354836377165,41.1000006124377
NA,2017,1,-6.23838695733538,26.0000003874302
NA,2018,1,1.89096769966906,57.0000008493662
NA,2019,1,-1.41870964570872,44.9000006690621
NA,2020,1,0.568387084069752,9.70000014454126
NA,2021,1,-1.28290319713133,50.6000007539988
NA,2022,1,0.784838692134907,33.5000004991889
NA,2023,1,1.83935479759689,20.5000003054738
NA,2024,1,-0.506129020945199,43.5000006482005
NA,1950,2,1.03714283396091,48.0000007152557
NA,1951,2,0.556428558991424,36.5000005438924
NA,1952,2,-1.63862065302915,33.2000004947186
NA,1953,2,-1.27357140010489,32.1000004783273
NA,1954,2,-6.21035700404484,11.9000001773238
NA,1955,2,-3.40285706679736,41.5000006183982
